ID	CAS	SMILES	Set	Binding Exp
423	-	OC(C)CC(O)(C)C	Training	0
424	-	O([Si](C)(C)C)[Si](C)(C)C	Training	0
425	-	O([Si](O[Si](C)(C)C)(C)C)[Si](C)(C)C	Training	0
426	-	C#CC(O)(C)CC(C)C	Training	0
427	-	O=CCC(C)CCCC(O)(C)C	Training	0
428	-	O=C(O)CCC	Training	0
429	-	OCCN(C)C	Training	0
430	-	OC(C)CC(C)C	Training	0
431	-	O=C(OC(C)C)C	Training	0
432	-	O=C1OCC(O1)C	Training	0
433	-	Oc1cccc(c1)C	Training	0
434	-	Nc1cccc(c1)C	Training	0
435	-	Nc1cccc(N)c1	Training	0
436	-	Oc1cccc(O)c1	Training	0
437	-	O=C(OC)CC(=O)OC	Training	0
438	-	c1c(cc(cc1C)C)C	Training	0
439	-	Oc1cc(cc(c1)C)C	Training	0
440	-	n1c(nc(nc1Cl)Cl)Cl	Training	0
441	-	Oc1nc(O)nc(O)n1	Training	0
442	-	NC1CCCCC1	Training	0
443	-	OC1CCCCC1	Training	0
444	-	O=C1CCCCC1	Training	0
445	-	Oc1ccccc1	Training	0
446	-	c1ccc(cc1)S	Training	0
447	-	O1CCN(C)CC1	Training	0
448	-	O=C(OCCCC)CCCCCCCCC(=O)OCCCC	Training	0
449	-	N(C(NCCCC)=S)CCCC	Training	0
450	-	O=C(O)CCCC	Training	0
451	-	NCCCN(C)C	Training	0
452	-	N#CCC#N	Training	0
453	-	OCCOC	Training	0
454	-	O(OC(C)(C)C)C(C)(C)C	Training	0
455	-	O=S(=O)(O)OCCCCCCCC	Training	0
456	-	O=C(C)CCC(C)C	Training	0
457	-	O=C(O)C=CC(=O)O	Training	0
458	-	O=C(O)CN(C(=O)CCCCCCCC=CCCCCCCCC)C	Training	0
459	-	O=C(C=C)NCNC(=O)C=C	Training	0
460	-	O=C(OC(C)C)CCCCCCCCCCCCC	Training	0
461	-	O=C(OCCCCCC)CCCCC(=O)OCCCCCC	Training	0
462	-	O=C(OC)CCCCCCCCC	Training	0
463	-	O=C(C)CCCCC	Training	0
464	-	O=C(O)C=CC=CC	Training	0
465	-	O=CCCCC	Training	0
466	-	OCCCCO	Training	0
467	-	OCC#CCO	Training	0
468	-	O=NCCCC	Training	0
469	-	OCCNCC	Training	0
470	-	OCCOCC	Training	0
471	-	N1CCNCC1	Training	0
472	-	O1C=CCCC1	Training	0
473	-	O1CCNCC1	Training	0
474	-	OC(C)CNCC(O)C	Training	2
475	-	O=C(OC)CCCCCCC	Training	0
476	-	O=C(O)CCCCCC	Training	0
477	-	O=C(OCCOCC)C	Training	0
478	-	O=C(O)CCCCCCCCC(=O)O	Training	0
479	-	O=C(OCCOCCOCCOC(=O)C)C	Training	0
480	-	OCCCCCC	Training	0
481	-	O=CCCCC=O	Training	0
482	-	NCCNCCN	Training	0
483	-	OCCNCCO	Training	0
484	-	O(CCCl)CCCl	Training	0
485	-	OCCOCCO	Training	0
486	-	N1CCCCCC1	Training	0
487	-	O=C(OCCOC(=O)C)C	Training	0
488	-	O=C(OCC)CCCCCCCC=CCCCCCCCC	Training	0
489	-	N#CCCCCC#N	Training	0
490	-	OCCCCCCC	Training	0
491	-	OCCOCCCC	Training	0
492	-	OCCOCCOC	Training	0
493	-	O=C(OC)CCCCCCCCCCC	Training	0
494	-	CCCCCCCCC	Training	0
495	-	OCCCCCCCC	Training	0
496	-	OCCOCCOCC	Training	0
497	-	O(C)CCOCCOC	Training	0
498	-	CCCCCCCCCCCC[N+](C)(C)C	Training	0
499	-	O=C(O)CCCCCCCC	Training	0
500	-	O=C(OCCOCCCC)C	Training	0
501	-	O=C(C)CCCCCCCCC	Training	0
502	-	O=C(OCCCCCCCC)C	Training	0
503	-	N(C)(C)CCCCCCCCCCCC	Training	0
504	-	OCCOCCCCCC	Training	0
505	-	OCCOCCOCCO	Training	0
506	-	OCCCCCCCCCC	Training	0
507	-	O=CCCCCCCCCC	Training	0
508	-	OCCOCCOCCCC	Training	0
509	-	OCCOCCOCCOC	Training	0
510	-	O=C(O)CCCCCCCCC=C	Training	0
511	-	OCCCCCCCCCCC	Training	0
512	-	O(C)CCOCCOCCOC	Training	0
513	-	OCCOCCOCCOCC	Training	0
514	-	OCCCCCCCCCCCC	Training	0
515	-	CCCCCCCCCCCCS	Training	0
516	-	OCCOCCOCCOCCO	Training	0
517	-	O=C(OC)CCCCCCCC=CCC=CCCCCC	Training	0
518	-	OCCCCCCCCCCCCC	Training	0
519	-	OCCCCCCCCCCCCCC	Training	0
520	-	O=C(O)CCCCCCCC=CCCCCCCCC	Training	0
521	-	O=C2N(C(=O)C3C1C=CC(C1)C23)CC(CC)CCCC	Training	0
522	-	O=C3OC(CC)C(O)(C)C(O)C(C(=O)C(C)CC(O)(C)C(OC1OC(C)CC(N(C)C)C1(O))C(C)C(OC2OC(C)C(O)C(OC)(C)C2)C3C)C	Training	0
523	-	O=C(Oc1ccccc1(OC(C)C))NC	Training	0
524	-	O=C(O)C1C(C(=O)O)C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl	Training	0
525	-	OC(c1ccc(cc1)Cl)(c2ccc(cc2)Cl)C(Cl)(Cl)Cl	Training	0
526	-	OCC(CO)(CO)CO	Training	0
527	-	O=C(OC(C=C)(C)CCC=C(C)C)C	Training	0
528	-	O=P(OCCCl)(OCCCl)OCCCl	Training	0
529	-	OC1CC(C)CC(C)(C)C1	Training	0
530	-	O=C(ON=CC(C)(C)SC)NC	Training	0
531	-	O=C1NC(=O)C(N1CO)(C)C	Training	0
532	-	O=C1OC(=O)c2c1c(c(c(c2Cl)Cl)Cl)Cl	Training	0
533	-	O=C1c2ccccc2(C(=O)C(=C1Cl)Cl)	Training	0
534	-	O=C(OCC(CC)CCCC)c1ccccc1(C(=O)OCC(CC)CCCC)	Training	0
535	-	O=C(OCCCCCCCC)c1ccccc1(C(=O)OCCCCCCCC)	Training	0
536	-	O=C(O)C1=NN(C(=O)C1)c2ccc(cc2)S(=O)(=O)O	Training	0
537	-	O=C1N(C(=O)C(N1Cl)(C)C)Cl	Training	0
538	-	O=C(Oc1ccccc1)c2ccccc2(O)	Training	0
539	-	O=C1C=COC(C1(=O))C	Training	0
540	-	Oc1c(cc(cc1Br)Br)Br	Training	0
541	-	Oc1c(cc(cc1C(C)(C)C)Cc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)C(C)(C)C	Training	0
542	-	O=C(c1ccccc1(O))C	Training	0
543	-	O=C(OCCCCCCCC)c1ccccc1(C(=O)OCCCCCCCCCC)	Training	0
544	-	O=C(OC)c1ccccc1(O)	Training	0
545	-	Oc1c(cc(cc1C(C)(C)C)C)Cc2cc(cc(c2(O))C(C)(C)C)C	Training	0
546	-	O=C(c1ccccc1)C(O)c2ccccc2	Training	0
547	-	c1ccc2c(c1)CCCC2	Training	0
548	-	O(c1cc(ccc1(N))c2ccc(N)c(OC)c2)C	Training	0
549	-	O=S(=O)(O)c1ccc2ccccc2(c1)	Training	0
550	-	O=C(O)C(Oc1ccc(cc1Cl)Cl)C	Training	0
551	-	O=C(c1ccccc1)CC(=O)c2ccccc2	Training	0
552	-	O=C(OCC)c1ccc(O)cc1	Training	2
553	-	O=C(OCc1ccccc1)c2ccccc2	Training	0
554	-	O=C(OCCOCCOC(=O)c1ccccc1)c2ccccc2	Training	0
555	-	O=C(OC)c1ccc(cc1)C(=O)OC	Training	0
556	-	Oc1ccccc1CN(C)C	Training	0
557	-	O(c1ccc(cc1(N))C)C	Training	0
558	-	c1ccc2[nH]ccc2(c1)	Training	0
559	-	Oc1ccccc1(O)	Training	0
560	-	c1cc(c(cc1Cl)Cl)Cl	Training	0
561	-	Oc1ccc(cc1Cl)Cl	Training	0
562	-	O=C1CCCC1	Training	0
563	-	Oc1ccc(cc1C(C)(C)CC)C(C)(C)CC	Training	0
564	-	Oc1ccc(OC)cc1C(C)(C)C	Training	0
565	-	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])C	Training	0
566	-	O=Cc1ccc(O)c(OCC)c1	Training	0
567	-	O=Cc1ccc(O)c(OC)c1	Training	0
568	-	O=C(OCC)C2OC2(c1ccccc1)	Training	0
569	-	c1ccc(cc1)N(C)C	Training	0
570	-	O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S	Training	0
571	-	O=C(O)c1cccc(c1)C(=O)O	Training	0
572	-	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1C	Training	0
573	-	OC(C)CN(CC(O)C)CC(O)C	Training	0
574	-	n1c(nc(nc1NCC)Cl)NCC	Training	0
575	-	O=CC(=Cc1ccccc1)CCCCC	Training	0
576	-	O=C(OC(C)C)Nc1ccccc1	Training	0
577	-	O(CC)C(OCC)OCC	Training	0
578	-	O=C(C=Cc1ccccc1)C	Training	0
579	-	O=CCc1ccccc1	Training	0
580	-	O=C(O)COc1ccc(cc1)Cl	Training	0
581	-	OCCOc1ccccc1	Training	0
582	-	O1CCN(CC1)CCCN	Training	0
583	-	O=CC(CC)CCCC	Training	0
584	-	Oc1ccc(cc1)CC	Training	0
585	-	O=Cc1ccc(OC)cc1	Training	0
586	-	OC(CC(C)C)CC(C)CC(C)C	Training	0
587	-	O=C(OCC)CCC(=O)OCC	Training	0
588	-	Oc1ccc(O)cc1	Training	0
589	-	O=C1C=CC(=O)NN1	Training	0
590	-	C=CC(=C)CCC=C(C)C	Training	0
591	-	O=C(C)CC(O)(C)C	Training	0
592	-	O=C(OCC)CCCCC	Training	0
593	-	O=C(N=NC(=O)N)N	Training	0
594	-	O=C(OCCC(C)C)C	Training	0
595	-	O=C(OCC(O)CO)CCCCCCCCCCCCCCCCC	Training	0
596	-	OC(C)CCCCCC	Training	0
597	-	O=C(O)CCCCCCCC(=O)O	Training	0
598	-	O=C(O)CCCCC(=O)O	Training	0
599	-	NCCCCCCN	Training	0
600	-	O=CCCCCCCC	Training	0
601	-	CCCCCCCCCC	Training	0
602	-	O=CCCCCCCCC	Training	0
603	-	NCCCCCCCCCCCC	Training	2
604	-	OCC(N)(C)C	Training	0
605	-	OC1CC2CCC1(C)C2(C)(C)	Training	0
606	-	C1=CC2CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl	Training	0
607	-	O=C2NC(=O)C(c1ccc(N)cc1)(CC)CC2	Training	0
608	-	O=C(O)CCC(c1ccc(O)cc1)(c2ccc(O)cc2)C	Training	2
609	-	O=C1N(C(=O)C(N1Cl)(C)C)Br	Training	0
610	-	O=[N+]([O-])C(CO)(CO)CO	Training	0
611	-	O=C(OCC2OC(OC1(OC(COC(=O)C)C(OC(=O)C)C1(OC(=O)C))(COC(=O)C))C(OC(=O)C)C(OC(=O)C)C2(OC(=O)C))C	Training	0
612	-	OCC(C)(C)CO	Training	0
613	-	O=P(OCC(CBr)Br)(OCC(CBr)Br)OCC(CBr)Br	Training	0
614	-	O=P(OCCCC)(OCCCC)OCCCC	Training	0
615	-	OC(C#CC(O)(C)CC(C)C)(C)CC(C)C	Training	0
616	-	O=S(=O)(O)OCC(CC)CCCC	Training	0
617	-	N#CC(=C)C	Training	0
618	-	O=C(N)NO	Training	0
619	-	O=C(N(C)C)C	Training	0
620	-	O=C(OC)C2(C)(CCCC3(C)(C1C(C=C(CC1)C(C)C)=CCC23))	Training	0
621	-	O=C(C=CC1C(=CCCC1(C)(C))C)C	Training	0
622	-	O=C(C=CC1C(=CCCC1(C)(C))C)CC	Training	0
623	-	O=C(OCC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C)C	Training	0
624	-	O=S(=O)(NCl)c1ccc(cc1)C	Training	0
625	-	C=C1CCC2CC1C2(C)(C)	Training	0
626	-	C(N(C)C)(=S)S	Training	0
627	-	Oc1c(cc(cc1C(C)(C)C)C)C(C)(C)C	Training	0
628	-	Oc1c(cccc1C(C)(C)C)C(C)(C)C	Training	0
629	-	O=C(OCC(CC)CCCC)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O	Training	0
630	-	O=C1c3ccccc3(C(=O)c2c(N)ccc(N)c12)	Training	0
631	-	c1cc2ccc3cccc4ccc(c1)c2c34	Training	0
632	-	O=S(=O)(O)c3ccc(C(c1ccc(cc1)N(CC)CC)=C2C=CC(C=C2)=[N+](CC)CC)c(c3)S(=O)(=O)O	Training	0
633	-	O=C2OC(=O)C3C1C=CC(C1)C23	Training	0
634	-	O=C(O)C2C1OC(CC1)C2(C(=O)O)	Training	0
635	-	O=C(OC)c1ccccc1(C(=O)OC)	Training	0
636	-	O=C(OCC=C)c1ccccc1(C(=O)OCC=C)	Training	0
637	-	O=C(OCCCCC)c1ccccc1(C(=O)OCCCCC)	Training	0
638	-	O=C(c1ccc(O)cc1(O))c2ccc(O)cc2(O)	Training	2
639	-	O=C(c1ccccc1)c2ccc(O)cc2(O)	Training	2
640	-	O=C(O)c1ccccc1(C(=O)OCCCC)	Training	0
641	-	o2c1ccccc1c3ccccc23	Training	0
642	-	c1ccc3c(c1)c2ccccc2s3	Training	0
643	-	O=C1N(C(=O)C2CC=CCC12)SC(Cl)(Cl)Cl	Training	0
644	-	O=C1c2ccccc2(C(=O)N1SC(Cl)(Cl)Cl)	Training	0
645	-	O=C(O)c1cc(cc(N)c1Cl)Cl	Training	0
646	-	O=C(OC)c1ccccc1(N)	Training	0
647	-	Oc1cccc2cccnc12	Training	0
648	-	O=C(c1cccc(c1)C)N(CC)CC	Training	0
649	-	O=C(OCCC)c1ncc(cc1)C(=O)OCCC	Training	0
650	-	O=C(O)C(CC)CCCC	Training	0
651	-	O=C(OCCCC)c1ccccc1	Training	0
652	-	C(N(C)C)(=S)SSC(N(C)C)=S	Training	0
653	-	N(C(=S)S)C	Training	0
654	-	O=C1OC(C(O)C1(=O))C(O)COC(=O)CCCCCCCCCCCCCCC	Training	0
655	-	O=C(OCCCC)C(O)C	Training	0
656	-	C=C(C)C1CC=C(C)CC1	Training	0
657	-	c1ccc(cc1)C[N+](C)(C)CCCCCCCCCCCC	Training	0
658	-	O=C(O)CN(CC(=O)O)CC(=O)O	Training	0
659	-	n1c(nc(nc1NC(C)C)Cl)NC(C)C	Training	0
660	-	OCCN(CC)CCO	Training	0
661	-	O=S(=O)(O)OC(CCC(CC)CCCC)CC(C)C	Training	0
662	-	O(CCCl)P(OCCCl)OCCCl	Training	0
663	-	O=C(O)C=Cc1ccccc1	Training	2
664	-	O=C(OCc1ccccc1)C	Training	0
665	-	NCCN1CCNCC1	Training	0
666	-	O=C(N)Nc1ccc(cc1)Cl	Training	0
667	-	O=C(Nc1ccc(cc1)Cl)N(C)C	Training	0
668	-	O=S(=O)(O)N=Nc1ccc(cc1)N(C)C	Training	0
669	-	Oc1ccc(cc1)C(C)(C)CC(C)(C)C	Training	2
670	-	O(c1ccc(cc1)CC=C)C	Training	0
671	-	O=C(NCO)NCO	Training	0
672	-	O=C(OCC(CC)CCCC)C=CC(=O)OCC(CC)CCCC	Training	0
673	-	O=C(OCC(C)C)CCCCC(=O)OCC(C)C	Training	0
674	-	O=C(OCCCC)C=C	Training	0
675	-	OCCN	Training	0
676	-	O=C(C=C(OP(=O)(OC)OC)C)N(C)C	Training	0
677	-	O=C(C=C(C)C)C	Training	2
678	-	O=C(OCC(O)CO)CCCCCCCCCCC	Training	0
679	-	OC(C=C)(C)CCC=C(C)CCC=C(C)C	Training	0
680	-	N(C(=S)S)CCNC(=S)S	Training	0
681	-	O=C(O)CCCCC	Training	0
682	-	O=S(=O)(O)OCCCCCCCCCC	Training	0
683	-	O=S(=O)(O)OCCCCCCCCCCCCCCCC	Training	0
684	-	O=C(O)CCCCCCCCCCC	Training	0
685	-	OCCCCCCCCC	Training	0
686	-	OCCOCCOCCOCCCC	Training	0
687	-	n1cscc1c2nc3ccccc3([nH]2)	Training	0
688	-	n2c1ccccc1sc2S	Training	0
689	-	O=C(O)c1ccc(N)cc1	Training	0
690	-	Oc1ccc(OC)cc1	Training	0
691	-	O(c1ccc(OC)cc1)C	Training	0
692	-	O=C(OC(C)(C)Cc1ccccc1)C	Training	0
693	-	O=C1C=CC3(C(=C1)CCC2C4CC(C)C(O)(C(=O)COP(=O)(O)O)C4(C)(CC(O)C23(F)))(C)	Training	0
694	-	n1c[nH]c2c1N=C(N)NC2=S	Training	0
695	-	O=Nc1ccc(cc1)Nc2ccccc2	Training	0
696	-	O(c1ccc(N)cc1)CC	Training	0
697	-	C(=CCl)Cl	Training	0
698	-	c1ccc3c(c1)cc5c2ccccc2c4cccc3c45	Training	0
699	-	c1ccc2c(c1)c4cccc3cccc2c34	Training	0
700	-	c1cc2cccc3C=Cc(c1)c23	Training	0
701	-	o1ccc2ccccc12	Training	0
702	-	n1cc[nH]c1	Training	0
703	-	n1cn[nH]c1	Training	0
704	-	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1	Training	0
705	-	O(CC)P(OCC)(=S)SCSCC	Training	0
706	-	O(CC)P(OCC)(=S)SCCSCC	Training	0
707	-	O=P(O)(OCC(CC)CCCC)OCC(CC)CCCC	Training	0
708	-	O=C(N)N2c3ccccc3(C=Cc1ccccc12)	Training	0
709	-	O=P(OC)(OC)OC(C(Cl)(Cl)Br)Br	Training	0
710	-	N#CS	Training	0
711	-	O=C(O)C=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C	Training	0
712	-	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	0
713	-	O=[N+]([O-])c1ccc(OP(=O)(OCC)OCC)cc1	Training	0
714	-	O=C1N=C(C)C(C(=O)N1C(C)CC)Br	Training	0
715	-	FC(F)(F)c1ccc(c(c1)Cl)Cl	Training	0
716	-	O=C(Nc1ccc(c(c1)Cl)Cl)N(C)C	Training	0
717	-	O=C(Nc1ccc(c(c1)Cl)Cl)N(OC)C	Training	0
718	-	O=C(O)CCCCCCCCC	Training	0
719	-	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	0
720	-	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	0
721	-	O=C(OC)C=C(OP(=O)(OC)OC)C	Training	0
722	-	O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	0
723	-	O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	0
724	-	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	0
725	-	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	0
726	-	N#CN	Training	0
727	-	O=C(OC4(C(=O)C)(CCC3C5C=C(C2=CC(=O)C1CC1C2(C)C5(CCC34(C)))Cl))C	Training	0
728	-	O=C1C(=COc2cc(O)cc(O)c12)c3ccc(O)cc3	Training	2
729	-	O=[N+]([O-])c1ncn(c1Sc3ncnc2nc[nH]c23)C	Training	0
730	-	N#CNC(=N)N	Training	0
731	-	O=C(O)CCCCCCCC=CCC=CCC=CCC	Training	0
732	-	O=C(O)N	Training	0
733	-	OC2C(C)(C)C1CCC2(C)(C1)	Training	0
734	-	O1C(C)(C)C2CCC1(C)CC2	Training	0
735	-	O=C3CCC4C2=CCc1cc(O)ccc1C2CCC34(C)	Training	2
736	-	O=C(O)c1c(cc(cc1C)C)C	Training	0
737	-	O=C1C(=Nc2ccc(cc12)S(=O)(=O)O)C3Nc4ccc(cc4(C3(=O)))S(=O)(=O)O	Training	0
738	-	Oc2cc1ccccc1c3ccccc23	Training	0
739	-	O=C2N(C)C(c1cnccc1)CC2	Training	0
740	-	O=C1C(=COc2cc(O)ccc12)c3ccc(O)cc3	Training	2
741	-	O=C1Oc2cc(OC)cc(OC)c2(C=C1)	Training	0
742	-	Oc1c(cc(OC)cc1C(C)(C)C)C(C)(C)C	Training	0
743	-	O=C1C(=COc2cc(O)cc(O)c12)c3ccc(OC)cc3	Training	2
744	-	N=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C	Training	0
745	-	O=C(O)c2ccccc2(N=Nc1ccc(cc1)N(C)C)	Training	0
746	-	O=C1NC2NC(=O)NC2(N1)	Training	2
747	-	Nc1ccc(cc1(N))C	Training	0
748	-	Oc1cc(ccc1C)C(C)C	Training	0
749	-	O=C(O)c1nc(ccc1)C(=O)O	Training	0
750	-	Oc1ccc(cc1(O))CC(C)C(C)Cc2ccc(O)c(O)c2	Training	2
751	-	O=C(OCC(O)CO)CCCCCCC	Training	0
752	-	O=CC=CCCC	Training	0
753	-	O=C(OCC)C(O)(c1ccc(cc1)Cl)c2ccc(cc2)Cl	Training	0
754	-	O=P(OC)(OC)OC	Training	0
755	-	O=C(O)C2(C)(CCCC3(C)(C1C(C=C(CC1)C(C)C)=CCC23))	Training	0
756	-	OC(C)(CCC=C(C)C)C1CC=C(C)CC1	Training	0
757	-	O=C1C(=O)C(Oc2cc(O)cc(O)c12)c3ccc(O)cc3	Training	2
758	-	O=C1C=C(Oc2cc(O)cc(O)c12)c3ccc(O)cc3	Training	2
759	-	O=C1CCC3(C)(C(C1)CCC2C4CCC(O)C4(C)(CCC23))	Training	2
760	-	n2cnc(NCc1occc1)c3nc[nH]c23	Training	0
761	-	Oc1cccc(c1C)C	Training	0
762	-	Oc1c(cc(cc1C)C)C	Training	0
763	-	O=[N+]([O-])c1ccccc1[N+](=O)[O-]	Training	0
764	-	O=C(c1ccccc1)CCl	Training	0
765	-	O=C(OCC)COc1ccc(cc1Cl)Cl	Training	0
766	-	C1(N(C)CN(C)CS1)(=S)	Training	0
767	-	N(C(NC)=S)C	Training	0
768	-	O=[N+]([O-])c1cc(c(O)c(c1)C)[N+](=O)[O-]	Training	0
769	-	O=C(OCCCCC)CCC	Training	0
770	-	O=C(OC(C)(C)C)C	Training	0
771	-	O1[Si](O[Si](O[Si](O[Si](O[Si]1(C)C)(C)C)(C)C)(C)C)(C)C	Training	0
772	-	c1cc(cc(c1)Cl)Cl	Training	0
773	-	C=1C=CCC=1	Training	0
774	-	OCCC=CCC	Training	0
775	-	O=C(O)CCCCCCCCCCCCC	Training	0
776	-	CCCCCCCCCCCCCCCC	Training	0
777	-	O=C1c2ccccc2(C(=O)N1C)	Training	0
778	-	O=C(O)c1ccc2C(=O)OC(=O)c2(c1)	Training	0
779	-	n1ccc(cc1)c2ccncc2	Training	0
780	-	O=C(O)C(N)(C)Cc1ccc(O)c(O)c1	Training	0
781	-	OCC1OC1	Training	0
782	-	C(=NC)=S	Training	0
783	-	O1[Si](O[Si](O[Si](O[Si]1(C)C)(C)C)(C)C)(C)C	Training	0
784	-	c1ccc2c(c1)c(ccc2C)C	Training	0
785	-	O=S(=O)(O)c3ccc(N=Nc2c(O)ccc1ccccc12)cc3	Training	0
786	-	Oc1c(cccc1C)C	Training	0
787	-	Nc1c(cccc1CC)CC	Training	0
788	-	Oc1cc(ccc1Cl)Cl	Training	0
789	-	n1ncn(N)c1	Training	0
790	-	O=C(OC1C(=C(C(=O)C1)CC=C)C)C2C(C=C(C)C)C2(C)(C)	Training	0
791	-	O=C=Nc1ccc(c(N=C=O)c1)C	Training	0
792	-	C1=C(C)CCC(=C(C)C)C1	Training	0
793	-	O=C(Nc1ccccc1)CCl	Training	0
794	-	O=C(OCC(O)CO)CCCCCCCCCCCCC	Training	0
795	-	CC(C)(Cl)Cl	Training	0
796	-	O=C(OC)N	Training	0
797	-	Oc1ccc(cc1)C(c2ccccc2)(C)C	Training	2
798	-	O=C(O)c3cc(N=Nc1ccc(cc1)S(=O)(=O)Nc2ncccc2)ccc3(O)	Training	0
799	-	O=[N+]([O-])c1cccc(c1[N+](=O)[O-])C	Training	0
800	-	c1ccc(cc1)P(c2ccccc2)c3ccccc3	Training	2
801	-	O=C1Nc3ccc(cc3(C(=NC1(O))c2ccccc2))Cl	Training	0
802	-	O=[N+]([O-])c1cccc(c1C)[N+](=O)[O-]	Training	0
803	-	O=S(=O)(O)c1cc(ccc1C)C	Training	0
804	-	N#Cc1ccccc1(O)	Training	0
805	-	O=C(c1ccccc1)C(C)C	Training	0
806	-	O=C(OOC(C)(C)C)c1ccccc1	Training	0
807	-	O=C1NCCC1	Training	0
808	-	O=S(=O)(O)c1ccc(c(c1)C)C	Training	0
809	-	Oc1cccc(c1)C(C)C	Training	0
810	-	Oc1cccc(c1)CC	Training	0
811	-	O=NN(CCC)CCC	Training	0
812	-	C=Cc1ccc(cc1)C	Training	0
813	-	O=COC(C)C	Training	0
814	-	Nc1cc(cc(c1)Cl)Cl	Training	0
815	-	O=C(OC)CCCCC(=O)OC	Training	0
816	-	O=C(OCCCCC)C	Training	0
817	-	CCCCCCCCCCCCCCC	Training	0
818	-	OCCCCCCCCCCCCCCC	Training	0
819	-	O=C(OC3(C(=O)C)(CCC2C4CCC1=CC(=O)CCC1(C)C4(CCC23(C))))CCCCC	Training	0
820	-	O=C(OCC)C(Oc1ccc(cc1)Cl)(C)C	Training	0
821	-	O=Cc1ccccc1(C=O)	Training	0
822	-	c1ccc(cc1)P(Cl)Cl	Training	0
823	-	O=CC(=CCCC)CC	Training	0
824	-	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCO	Training	0
825	-	C1=CCCC=CCCC=CCC1	Training	0
826	-	O=C(O)CC(O)C(=O)O	Training	0
827	-	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCO	Training	0
828	-	O(CCC)[Si](OCCC)(OCCC)OCCC	Training	0
829	-	O=NN(C(=O)N)C	Training	0
830	-	O=C(OCC)CCCCCCCCC=C	Training	0
831	-	O=C1OC(CC)CC1	Training	0
832	-	O=[N+]([O-])C(=Cc1ccccc1)C	Training	0
833	-	O=C1OC(CC1)CCCCCC	Training	0
834	-	O=C(Nc1ccc(c(c1)Cl)Cl)CC	Training	0
835	-	O=C(c1ccccc1)C2CCCCC2	Training	2
836	-	c1c(cc(cc1C(C)C)C(C)C)C(C)C	Training	0
837	-	O=C1c2ccccc2(C(=O)N1CSP(OC)(OC)=S)	Training	0
838	-	Oc1c(cc(cc1C(C)(C)C)C(C)(C)C)C(C)(C)C	Training	0
839	-	O=S(=O)(NCCSP(OC(C)C)(OC(C)C)=S)c1ccccc1	Training	0
840	-	O=S(=O)(N)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	0
841	-	O=P(OC)(OC)C	Training	0
842	-	O=C(N(CCC)CCC)SCC	Training	0
843	-	C=CC(CCl)Cl	Training	0
844	-	OP(OCC)OCC	Training	0
845	-	Nc1ccc(cc1)C(C)(C)C	Training	0
846	-	OC(C)COc1ccccc1	Training	0
847	-	c1ccc(c(c1)C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Training	2
848	-	O=C4C=C3CCC2C(CCC1(CC)(C2(CCC1(O)(C#C))))C3CC4	Training	2
849	-	O=C(OCCO)C=C	Training	0
850	-	O=C=NCCCCCCN=C=O	Training	0
851	-	O=C(OC1OC(OC(C)C1)C)C	Training	0
852	-	n1c(nc(nc1NC(C)C)SC)NCC	Training	0
853	-	O=P(O)(Oc1ccccc1)Oc2ccccc2	Training	0
854	-	Nc1ccc(cc1C)Cc2ccc(N)c(c2)C	Training	0
855	-	Oc2ccc3ccccc3(c2(N=Nc1ccccc1))	Training	0
856	-	O=C1N(C)CCC1	Training	0
857	-	O(CC)[Si](OCC)(OCC)CCCN	Training	0
858	-	O=C(C=C(OP(=O)(OC)OC)C)NC	Training	0
859	-	O=NN(CCCC)CCCC	Training	0
