Mol_ID	CAS	SMILES	Status	Exp LC50 Class
452	2104-64-5	O=[N+]([O-])c2ccc(OP(OCC)(c1ccccc1)=S)cc2	Training	1
453	2117-11-5	C#CCC(O)C	Training	3
454	2138-22-9	Oc1ccc(cc1(O))Cl	Training	2
455	2150-47-2	O=C(OC)c1ccc(O)cc1(O)	Training	3
456	2176-62-7	n1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	1
457	2216-51-5	OC1CC(C)CCC1(C(C)C)	Training	3
458	2232-08-8	O=S(=O)(c1ccc(cc1)C)n2cncc2	Training	3
459	2234-16-4	O=C(c1ccc(cc1Cl)Cl)C	Training	3
460	2243-27-8	N#CCCCCCCCC	Training	2
461	2357-47-3	Fc1ccc(N)cc1C(F)(F)F	Training	3
462	2362-61-0	OC2CCCCC2(c1ccccc1)	Training	3
463	2370-63-0	O=C(OCCOCC)C(=C)C	Training	3
464	2416-94-6	Oc1c(ccc(c1C)C)C	Training	2
465	2437-25-4	N#CCCCCCCCCCCC	Training	1
466	2439-77-2	O=C(N)c1ccccc1(OC)	Training	4
467	2447-79-2	O=C(N)c1ccc(cc1Cl)Cl	Training	3
468	2455-24-5	O=C(OCC1OCCC1)C(=C)C	Training	3
469	2460-49-3	Oc1cc(c(cc1(OC))Cl)Cl	Training	2
470	2495-37-6	O=C(OCc1ccccc1)C(=C)C	Training	2
471	2499-95-8	O=C(OCCCCCC)C=C	Training	2
472	2626-83-7	O=C(Oc1ccc(cc1)C(C)(C)C)NC	Training	3
473	2759-28-6	c1ccc(cc1)CN2CCNCC2	Training	3
474	2859-67-8	OCCCc1cnccc1	Training	4
475	2869-34-3	NCCCCCCCCCCCCC	Training	1
476	2894-51-1	O=C(c1ccc(cc1)Cl)c2ccccc2(N)	Training	2
477	2905-69-3	O=C(OC)c1cc(ccc1Cl)Cl	Training	3
478	2921-88-2	n1c(OP(OCC)(OCC)=S)c(cc(c1Cl)Cl)Cl	Training	1
479	2973-76-4	O=Cc1cc(OC)c(O)c(c1)Br	Training	3
480	3066-71-5	O=C(OC1CCCCC1)C=C	Training	2
481	3206-31-3	O=C(OCC)N(C(=O)OCC)C(=O)OCC	Training	3
482	3428-24-8	Oc1cc(c(cc1(O))Cl)Cl	Training	1
483	3481-20-7	Nc1c(c(cc(c1Cl)Cl)Cl)Cl	Training	1
484	3558-69-8	n1c(cccc1c2ccccc2)c3ccccc3	Training	1
485	3698-83-7	O=[N+]([O-])c1cc(c(cc1Cl)Cl)[N+](=O)[O-]	Training	1
486	3944-76-1	O=CC(C)C(C)CC	Training	3
487	4117-14-0	OCC#CCCCCCCC	Training	2
488	4214-79-3	Oc1ncc(cc1)Cl	Training	4
489	4253-89-8	CC(C)SSC(C)C	Training	2
490	4460-86-0	O=Cc1cc(OC)c(OC)cc1(OC)	Training	3
491	4655-34-9	O=C(OC(C)C)C(=C)C	Training	3
492	4798-44-1	OC(C=C)CCC	Training	3
493	4901-51-3	Oc1cc(c(c(c1Cl)Cl)Cl)Cl	Training	1
494	4916-57-8	n1ccc(cc1)CCc2ccncc2	Training	4
495	5217-47-0	O=C1N(C(N(C(=O)C1)CC)=S)CC	Training	4
496	5292-45-5	O=C(OC)c1ccc(C(=O)OC)c(c1)[N+](=O)[O-]	Training	2
497	5331-91-9	n2c1cc(ccc1sc2S)Cl	Training	2
498	5372-81-6	O=C(OC)c1ccc(C(=O)OC)c(N)c1	Training	2
499	5395-75-5	CCSCCSCC	Training	3
500	5407-04-5	N(C)(C)CCCCl	Training	4
501	5465-65-6	O=C(c1ccc(c(c1)[N+](=O)[O-])Cl)C	Training	2
502	5600-21-5	n1c(nc(cc1C)Cl)N	Training	4
503	5673-07-4	O(c1cccc(OC)c1C)C	Training	3
504	5683-33-0	n1ccccc1N(C)C	Training	4
505	5813-64-9	NCC(C)(C)C	Training	4
506	5835-26-7	O=C(O)C1(C)(CCCC2(C)(C3C(=CCC12)CC(C=C)(C)CC3))	Training	1
507	5922-60-1	N#Cc1cc(ccc1(N))Cl	Training	3
508	6001-64-5	OC(C)(C)C(Cl)(Cl)Cl	Training	4
509	6175-49-1	O=C(C)CCCCCCCCCC	Training	2
510	6203-18-5	O=CC=Cc1ccc(cc1)N(C)C	Training	2
511	6284-83-9	O=[N+]([O-])c1c(cc(c(c1Cl)[N+](=O)[O-])Cl)Cl	Training	1
512	6361-21-3	O=Cc1cc(ccc1Cl)[N+](=O)[O-]	Training	2
513	6575-09-3	N#Cc1c(cccc1Cl)C	Training	3
514	6602-32-0	Oc1cccnc1Br	Training	4
515	6636-78-8	Oc1cccnc1Cl	Training	4
516	6921-29-5	C#CCN(CC#C)CC#C	Training	4
517	6948-86-3	O(CC)C(OCC)CN(C)CC(OCC)OCC	Training	4
518	7209-38-3	NCCCN1CCN(CC1)CCCN	Training	4
519	7212-44-4	OC(C=C)(C)CCC=C(C)CCC=C(C)C	Training	2
520	7250-67-1	N1(CCCC1)CCCl	Training	4
521	7307-55-3	NCCCCCCCCCCC	Training	1
522	7383-19-9	C#CC(O)CCCC	Training	2
523	10031-82-0	O=Cc1ccc(OCC)cc1	Training	3
524	10293-06-8	O=C1C(C2CCC1(C)C2(C)(C))Br	Training	3
525	10453-86-8	O=C(OCc1coc(c1)Cc2ccccc2)C3C(C=C(C)C)C3(C)(C)	Training	1
526	13071-79-9	O(CC)P(OCC)(=S)SCSC(C)(C)C	Training	1
527	13209-15-9	c1ccc(c(c1)C(Br)Br)C(Br)Br	Training	1
528	13608-87-2	O=C(c1ccc(c(c1Cl)Cl)Cl)C	Training	2
529	13909-73-4	O=C(c1ccc(OC)c(OC)c1(OC))C	Training	4
530	14064-10-9	O=C(OCC)C(C(=O)OCC)Cl	Training	1
531	14321-27-8	c1ccc(cc1)CNCC	Training	3
532	14548-45-9	O=C(c1cnccc1)c2ccc(cc2)Br	Training	3
533	14548-46-0	O=C(c1ccncc1)c2ccccc2	Training	4
534	15045-43-9	O1C(C)(C)CCC1(C)C	Training	4
535	15128-82-2	O=[N+]([O-])c1ncccc1(O)	Training	4
536	15972-60-8	O=C(N(c1c(cccc1CC)CC)COC)CCl	Training	2
537	16245-79-7	Nc1ccc(cc1)CCCCCCCC	Training	1
538	16752-77-5	O=C(ON=C(C)SC)NC	Training	2
539	16879-02-0	Oc1nc(ccc1)Cl	Training	4
540	17584-12-2	n1nc(c(nc1N)C)C	Training	4
541	17754-90-4	O=Cc1ccc(cc1(O))N(CC)CC	Training	2
542	18368-63-3	n1c(cccc1Cl)C	Training	4
543	19549-98-5	C#CC(O)(C)CCC(C)C	Training	3
544	20662-84-4	n1c(oc(c1C)C)C	Training	4
545	22104-62-7	O=C(C)C(C)CN(C)C	Training	2
546	22726-00-7	O=C(N)c1cccc(c1)Br	Training	3
547	23135-22-0	O=C(ON=C(C(=O)N(C)C)SC)NC	Training	2
548	24544-04-5	Nc1c(cccc1C(C)C)C(C)C	Training	3
549	29553-26-2	FC(F)C(F)(F)C(O)(C)C	Training	4
550	33966-50-6	NC(C)CC	Training	4
551	34274-04-9	O(c1cc(cc(OC)c1(OC))CNCCCOC)C	Training	4
552	34723-82-5	O1CCCCC1CBr	Training	4
553	37529-30-9	Nc1ccc(cc1)CCCCCCCCCC	Training	1
554	39905-57-2	O(c1ccc(N)cc1)CCCCCC	Training	2
555	42087-80-9	O=C(OC)c1ccc(cc1[N+](=O)[O-])Cl	Training	3
556	42454-06-8	O=Cc1cc(O)ccc1[N+](=O)[O-]	Training	3
557	51630-58-1	N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3	Training	1
558	52645-53-1	O=C(OCc2cccc(Oc1ccccc1)c2)C3C(C=C(Cl)Cl)C3(C)(C)	Training	1
559	54576-32-8	CCSCCCCSCC	Training	2
560	55792-61-5	O=C(Nc1ccccc1(OCCCCCCCC))C	Training	1
561	56108-12-4	O=C(N)c1ccc(cc1)C(C)(C)C	Training	3
562	56348-40-4	CSCCCCCCSC	Training	3
563	65337-13-5	C#CC(O)C	Training	3
564	69770-23-6	O=Cc2cccc(Oc1ccc(cc1)C(C)(C)C)c2	Training	1
565	70124-77-5	N#CC(OC(=O)C(c1ccc(OC(F)F)cc1)C(C)C)c3cccc(Oc2ccccc2)c3	Training	1
566	79124-76-8	O=Cc2cccc(Oc1ccc(c(c1)Cl)Cl)c2	Training	1
567	101836-92-4	O=[N+]([O-])c1cc(c2ccccc2(c1(O)))[N+](=O)[O-]	Training	2
