ID	CAS	VEGA SMILES	Dataset	Experimental Activity
2857	61318-91-0	n1ccn(c1)CC(c2ccc(cc2Cl)Cl)SCc3ccc(cc3)Cl	Training	2
2993	57648-21-2	O=C(c1ccc(F)cc1)CCCN4CCC(N2c3ccccc3(NC2=S))CC4	Training	2
2996	65899-73-2	n1ccn(c1)CC(OCc2ccsc2Cl)c3ccc(cc3Cl)Cl	Training	2
3055	68786-66-3	n2c3cc(c(Oc1cccc(c1Cl)Cl)cc3([nH]c2SC))Cl	Training	2
3064	68694-11-1	FC(F)(F)c2cc(ccc2(N=C(n1cncc1)COCCC))Cl	Training	2
3138	109826-26-8	O=C2Nc1ccccc1N2C3CCN(CC3)CC6(OCc4ccccc4n5cccc56)C	Training	2
930	120511-73-1	N#CC(c1cc(cc(c1)C(C#N)(C)C)Cn2ncnc2)(C)C	Training	2
1180	128639-02-1	O=C(OCC)C(Cc1cc(c(F)cc1Cl)N2N=C(N(C2(=O))C(F)F)C)Cl	Training	2
1632	60207-93-4	n1cnn(c1)CC2(OCC(O2)CC)c3ccc(cc3Cl)Cl	Training	2
1720	114369-43-6	N#CC(c1ccccc1)(Cn2ncnc2)CCc3ccc(cc3)Cl	Training	2
1794	76674-21-0	Fc1ccc(cc1)C(O)(c2ccccc2(F))Cn3ncnc3	Training	2
1957	125225-28-7	OC3(Cn1ncnc1)(C(Cc2ccc(cc2)Cl)CCC3(C(C)C))	Training	2
2002	117279-73-9	n1nc4n(c1C)c3c(cc(CCc2ccc(cc2)CC(C)C)s3)C(=NC4C)c5ccccc5Cl	Training	2
2045	112809-51-5	N#Cc1ccc(cc1)C(c2ccc(C#N)cc2)n3ncnc3	Training	2
2271	88671-89-0	N#CC(c1ccc(cc1)Cl)(Cn2ncnc2)CCCC	Training	2
2535	66246-88-6	n1cnn(c1)CC(c2ccc(cc2Cl)Cl)CCC	Training	2
2693	60207-90-1	n1cnn(c1)CC2(OCC(O2)CCC)c3ccc(cc3Cl)Cl	Training	2
2915	107534-96-3	OC(Cn1ncnc1)(CCc2ccc(cc2)Cl)C(C)(C)C	Training	2
2947	112281-77-3	FC(F)C(F)(F)OCC(c1ccc(cc1Cl)Cl)Cn2ncnc2	Training	2
3040	43121-43-3	O=C(C(Oc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C	Training	2
3041	55219-65-3	OC(C(Oc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C	Training	2
380	74762	O=[N+]([O-])c1ccc(cc1)c2nc(N)sc2	Training	1
386	52253-69-7	n1c(N)scc1c2ccccc2	Training	1
388	29927-08-0	n2c1cc(c(cc1sc2N)C)C	Training	1
391	94-45-1	n2c1ccc(OCC)cc1sc2N	Training	1
392	1747-60-0	n2c1ccc(OC)cc1sc2N	Training	1
399	136-95-8	n1c(N)sc2ccccc12	Training	1
950	68377-91-3	O=C(N)c2ccc(c1nc(sc1)SCC(O)CNC(C)(C)C)s2	Training	1
1197	86329-79-5	O=C(O)C4=C(CSc1nc(c(CC(=O)O)s1)C)CSC3N4(C(=O)C3(NC(=O)C(=NOC)c2nc(N)sc2))	Training	1
1421	95-27-2	n2c1ccc(OCCN(CC)CC)cc1sc2N(C)C	Training	1
1709	79069-94-6	n1c(csc1NCCc2ccccc2)c3ccccc3	Training	1
1713	144060-53-7	N#Cc1cc(ccc1(OCC(C)C))c2nc(c(C(=O)O)s2)C	Training	1
2039	75706-12-6	O=C(Nc1ccc(cc1)C(F)(F)F)c2cnoc2C	Training	1
2154	18691-97-9	O=C(NC)N(c2nc1ccccc1s2)C	Training	1
2420	55981-09-4	O=C(Oc2ccccc2(C(=O)Nc1ncc([N+](=O)[O-])s1))C	Training	1
2521	198470-85-8	O=C(NS(=O)(=O)c1ccc(cc1)c2c(noc2C)c3ccccc3)CC	Training	1
2773	1744-22-5	FC(F)(F)Oc1ccc2nc(N)sc2(c1)	Training	1
2927	3810-35-3	O=C(Nc1ncc([N+](=O)[O-])s1)c2cccs2	Training	1
3000	61570-90-9	O=C(OC)Nc2nc1ccc(OCCC)cc1s2	Training	1
799	50-44-2	N1=CNC(c2nc[nH]c12)=S	Training	1
822	136470-78-5	OCC4C=CC(n2cnc1c(nc(nc12)N)NC3CC3)C4	Training	1
825	2627-69-2	O=C(N)c1ncn(c1(N))C2OC(CO)C(O)C2(O)	Training	1
864	73-24-5	n1cnc2[nH]cnc2(c1N)	Training	1
873	54965-21-8	O=C(OC)Nc1nc2cc(ccc2([nH]1))SCCC	Training	1
973	446-86-6	O=[N+]([O-])c1ncn(c1Sc3ncnc2nc[nH]c23)C	Training	1
1153	26097-80-3	O=C(OC(C)C)Nc1ccc2[nH]c(nc2(c1))c3ncsc3	Training	1
1168	10605-21-7	O=C(OC)Nc1nc2ccccc2([nH]1)	Training	1
1719	43210-67-9	O=C(OC)Nc1nc2cc(ccc2([nH]1))Sc3ccccc3	Training	1
1812	80288-49-9	O=C2c1[nH]c(nc1N(C(=O)N2C)Cc3occc3)C	Training	1
2033	103577-45-3	O=S(c1nc2ccccc2([nH]1))Cc3nccc(OCC(F)(F)F)c3C	Training	1
2322	2312-73-4	n3cnc1c(ncn1C2OCCCC2)c3NCc4ccccc4	Training	1
2433	31430-18-9	O=C(OC)Nc1nc2cc(ccc2([nH]1))C(=O)c3cccs3	Training	1
2520	14255-87-9	O=C(OC)Nc1nc2cc(ccc2([nH]1))CCCC	Training	1
2611	27199-40-2	n1oc(nc1c2ccncc2)c3ccccc3Cl	Training	1
2963	148-79-8	n1cscc1c2nc3ccccc3([nH]2)	Training	1
3245	574-25-4	OCC3OC(n2cnc1c2(ncnc1S))C(O)C3(O)	Training	1
356	2440-22-4	Oc1ccc(cc1n2nc3ccccc3(n2))C	Training	1
898	28981-97-7	n4nc1n(c3ccc(cc3(C(=NC1)c2ccccc2))Cl)c4C	Training	1
1103	57801-81-7	n1nc3n(c1C)c2c(cc(Br)s2)C(=NC3)c4ccccc4Cl	Training	1
1684	40054-69-1	n1nc3n(c1C)c2c(cc(CC)s2)C(=NC3)c4ccccc4Cl	Training	1
2769	36791-04-5	O=C(N)c1ncn(n1)C2OC(CO)C(O)C2(O)	Training	1
