@relation model

@attribute SdssC numeric
@attribute SHssNH numeric
@attribute icycem numeric
@attribute BEHm1 numeric
@attribute BELv1 numeric
@attribute BELv8 numeric
@attribute BELp3 numeric
@attribute MATS4v numeric
@attribute MATS1p numeric
@attribute MATS4p numeric
@attribute GATS2m numeric
@attribute GATS3v numeric
@attribute GATS1p numeric
@attribute Tox {N,D}

@data
0,2.142724,0.928362,4.641055,2.022721,0.384946,1.419417,-0.21111,-0.438623,-0.194654,1.087965,1.377715,1.398229,D
1.41934,0,0.826746,4.270458,1.971999,0.996041,1.730362,-0.064426,-0.143343,-0.041108,0.678567,0.545242,0.886743,D
0.085929,0,0.940286,4.014215,1.991031,0.817857,1.692598,-0.22997,-0.08353,-0.17667,0.665326,0.677034,0.726497,D
0,1.611177,0.954434,3.856398,1.96696,0.785949,1.491222,-0.16471,-0.060411,-0.175167,0.919183,1.003421,0.70511,N
0,0,1,3.749691,1.975536,0.63788,1.302846,-0.2,0,-0.2,1.042105,0.88,0.55,D
-0.722037,1.882958,0.999526,3.940619,1.889914,0,1.398532,0.329324,-0.591905,0.321502,0.48435,1.396501,1.337702,D
0,0,0.887976,4.248747,1.966922,0.811678,1.591987,0.275594,-0.048662,0.04187,1.021603,0.85799,0.864003,N
0.806019,3.704367,0.967295,4.025038,1.84189,0,1.26091,-0.294386,-0.144051,-0.504705,0.647059,1.028416,0.712308,D
-0.519978,1.930256,0.954434,3.910551,1.960492,0.621985,1.477413,-0.073217,-0.046344,-0.204646,0.603807,1.209838,0.612549,D
0,0,0.845351,4.703385,1.582537,0,1.235656,0.134471,-0.240564,0.016056,2.215639,1.146358,1.431006,D
-3.679147,2.115052,0.741483,4.190332,1.926036,1.117029,1.679176,-0.280391,0.015052,-0.223411,1.189984,0.832479,0.710042,N
0,0,0.863121,3.923234,2.004865,0.944021,1.433523,-0.078789,-0.32323,-0.068263,0.800544,0.923607,1.211118,D
0,0,0.696212,3.829076,1.993638,1.267842,1.874318,-0.112812,-0.180555,-0.107291,1.178469,0.996058,1.0727,D
-0.710671,4.242113,0.892623,4.630173,2.029264,0.992464,1.741931,0.043653,-0.473208,0.029678,1.083916,1.082994,1.54565,D
-0.690718,4.025503,0.918296,4.630078,2.02917,0.758314,1.617976,0.208225,-0.58527,0.264225,1.158609,1.362709,1.66712,D
-1.004932,0,0.86804,3.970089,1.966598,0.821774,1.623028,-0.020668,-0.078975,-0.00041,0.617314,0.731363,0.721107,D
0,0,0.591673,3.772346,1.929171,0,0.966243,1,1,1,0,0,0,N
0,0,0.949452,4.035397,2.090098,0.654281,1.552854,0.130952,-0.246032,0.130952,0.678571,0.919355,1.066327,D
0,4.151083,0.948078,4.68468,2.098633,0.565227,1.401967,-0.215348,-0.6348,0.122869,0.729395,1.077149,1.643138,D
-0.868056,0,1,3.767193,1.756389,0,1.068468,0.199398,-0.414494,0.193936,0.693968,1.359239,1.15391,D
-0.230961,1.975946,0.749595,3.911294,1.984793,1.289524,1.757291,-0.268595,-0.285424,-0.276014,0.927193,0.953621,1.177118,D
0,0,0.899744,3.850219,1.98354,0.955073,1.748576,-0.321429,-0.2875,-0.321429,0.855,1.084239,1.425,N
1.238426,0,0.841237,3.917896,2.007083,0.958343,1.706627,-0.115789,-0.135011,-0.115789,1.105263,0.818713,1.201373,D
-0.777792,1.941658,0.845351,10.679343,1.932381,0.743594,1.662351,0.419726,0.005493,0.502255,0.820653,1.044415,0.511255,D
-0.635463,0,0,3.610767,1.863688,0.353551,1.410254,-0.305556,-0.027778,-0.305556,0.5625,1.125,0.625,D
-0.667437,0,0.886541,3.960767,2.029776,0.88332,1.677341,0.039811,-0.031579,0.039811,0.760902,1.051247,0.665789,D
1.143249,1.632452,0.887976,3.929394,2.02244,1.117029,1.559452,-0.070652,-0.111842,-0.070652,0.683036,0.3825,1.006579,N
