id	cas	smiles	status	exp values	predicted
1597		O=C3c1c(nc(n1C)Cc2ccc(N)cc2)N(C(=O)N3C)C	Training	0.11	0.5589493844
1598		Oc1ccc(cc1CN(C)C)c2ccccc2	Training	-0.96	-0.9663117421
1599		c3cc(C(c1cccs1)=C2CN(C)CCC2)sc3	Training	1.29	0.4702963005
1600		O=C1OC(=NN1c2cc(OC(C)C)c(cc2Cl)Cl)C(C)(C)C	Training	1.01	0.47
1601		OC(C(=Cc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C	Training	0.17	0.4812415363
1602		O=C(N1CCN(CCO)CC1)CN3c2cc(ccc2SC3(=O))Cl	Training	1.01	0.5655618136
1603		O=C(c1ccc(cc1)C(F)(F)F)C(C)CN2CCCC2	Training	0.27	0.4610725986
1604		c1ccc(cc1)Nc2ccc(cc2)NC(C)C	Training	0.5	0.4709260236
1605		n2ccc(OCCN1CCCC1)c3ccccc23	Training	0.06	0.6838759118
1606		O=C1C=CC2=C(N1)CC3C=C(C)CC2(N)C3(=CC)	Training	-1.21	0.4410967129
1607		O=C(N)c1oc2ccc(cc2(c1))CN3CCCCC3	Training	-0.01	0.6911325196
1608		O=C(NC)c2c(nc(c1cc(OC)c(OC)c(OC)c1)s2)C	Training	1.21	1.2720455005
1609		N(Nc1nc(cc(n1)C)C)=C(c2ccccc2C)C	Training	0.32	0.3580475782
1610		O=C(OCC4C=1C(=O)C(N)=C(C(=O)C=1N3CC2NC2C34(OC))C)N	Training	-1.05	-0.71
1611		O=C(O)C(c1ccc(cc1)CC2C(=O)CCC2)C	Training	-0.32	0.4249666374
1612		O=S(=O)(O)C=2C=C(C1=CC=CC(=CC1=2)C(C)C)CC	Training	0.56	1.33
1613		OC(C(n1ncnc1)Cc2ccc(cc2Cl)Cl)C(C)(C)C	Training	1.09	0.7855906845
1614		O=C1C=CC(=NN1CSP(OCC)(OCC)=S)c2ccccc2	Training	0.18	-999
1615		O=C(C(=CC)C)N2c1ccc(cc1CCC2)C	Training	0.98	0.7010914487
1616		O=C(N1CCOCC1)CC(=Cc2ccccc2)C	Training	0.61	0.8522110132
1617		O=C1c2ccc(OC)c(c2(OC(=C1C)C))CN(C)C	Training	-1.58	-999
1618		O(c1ccc(cc1)N(CC2OC2)CC3OC3)CC4OC4	Training	0.57	0.9374463381
1619		O=C(OC)C2=C(NC(=C(C(=O)OC)C2(C=1OCCOC=1))C)C	Training	0.81	0.6862537334
1620		O=C(OCC(O)C1Oc2ccccc2(OC1))N3CCOCC3	Training	0.69	0.7166737137
1621		O=C(OCCCOCCCC)COc1ccc(cc1Cl)Cl	Training	0.18	0.186120109
1622		OC(C(n1ncnc1)Cc2ccc(cc2)Cl)C(C)(C)C	Training	0.65	0.894606475
1623		O=C1OC3(CN1)(CCN(CCc2ccccc2)CC3)	Training	0.17	-0.1203391722
1624		O=C(N1c2ccccc2(OCC1))CN3CCCCC3	Training	-0.17	0.8532981909
1625		O=C(Oc1c(cc(cc1C(C)CC)[N+](=O)[O-])[N+](=O)[O-])SCCCC	Training	-0.38	-0.2026763585
1626		O=C(Oc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])OCCCCCCCC	Training	-0.24	-0.3243205528
1627		O=C1c2ccccc2(C(=O)N1CSP(OCC(C)C)(CC)=S)	Training	-0.68	-1.1884726038
1628		O=CC(=Cc1ccccc1)CCCCCC	Training	1.16	1.2839133456
1629		O=C(O)C(c1ccc2c(c1)CC(C2)C(C)C)C	Training	0.81	0.6267564607
1630		O=C(OCCC(C)C)C=Cc1ccc(OC)cc1	Training	1.59	0.5900340896
1631		O(c1cc(ccc1(OCCC))C=CC(OCC)=S)C	Training	0.56	0.5851344954
1632		O=C(OC(C)CCCCCC)COc1nc(F)c(c(N)c1Cl)Cl	Training	1.14	0.52820105
1633		N1=C(NCC(C)(C)C1)C(OCC)c2ccccc2Cl	Training	0.04	-0.1621911016
1634		Fc1cccc(c1)C(OCC)C2=NCC(C)(C)CN2	Training	0.45	0.1419236792
1635		c1ccc(cc1)C3C(NCC)C2CCC3(C2)	Training	-0.48	0.3279141442
1636		O=C(N)c2ccc(c1nc(sc1)SCC(O)CNC(C)(C)C)s2	Training	-0.68	-999
1637		O=C2C(OC)=C(OP(OC=1C=NN(C(=O)C=1(OC))C)(OC(C)C)=S)C=NN2C	Training	-0.64	-1.2713824977
1638		Oc1ccc2c(c1)C3(C)(CCN(C)CC(C2)C3)	Training	0.01	0.10383572
1639		O=C(N(CC)CC)CC(=Cc1ccccc1)C	Training	1	0.7227315157
1640		OC(COc1ccccc1C)CN2CC=CCC2	Training	0.08	0.2841355376
1641		O=C(CC)C2(c1cccc(O)c1)(CCN(C)CC2)	Training	-0.12	-0.0526896322
1642		O=C(OCC)C2(c1ccccc1)(CCN(C)CC2)	Training	-0.22	-0.0562853514
1643		O=C(OC2(c1ccccc1)(CCN(C)C2(C)))CC	Training	-0.05	-0.2372784417
1644		O=C(c1ccc(cc1)SC)C(N2CCOCC2)(C)C	Training	0.61	0.3409510137
1645		O=C(N(CCO)CCO)CC(=Cc1ccccc1)C	Training	0.76	0.800138308
1646		O=C(OC)C(N(C(=O)COC)c1c(cccc1C)C)C	Training	0.31	0.7206297751
1647		O=C(OCC(O)C1Oc2ccccc2(OC1))NCC(C)C	Training	0.71	0.723170335
1648		O=C(OCC(O)C1Oc2ccccc2(OC1))NCCCC	Training	0.71	0.7232180716
1649		O=C(N(c1c(OCCC(C)C)cccc1C)C)CCl	Training	1.07	0.8155959708
1650		O=C(N(c1c(OCCC)cccc1C)COCC)CCl	Training	0.94	0.9287554348
1651		O=C(N(c1c(OC(C)C)cccc1C)COCC)CCl	Training	0.96	0.7651596755
1652		N1=C(NCCC1)C(OCCCC)c2ccccc2	Training	0.1	0.4852634518
1653		N1=C(NCCC1)C(OCC)(c2ccccc2)CC	Training	0.48	0.3595123444
1654		O=C(N(CC)CC)C2(c1ccccc1)(CC2(CN))	Training	-0.12	0.5669542177
1655		O=C2c1c([nH]c(c1CC)C)CC3CCN(C)CC23	Training	-0.11	-0.1071809655
1656		N1=C(NCC(C)(C)C1)C(OCC)c2ccccc2	Training	0.55	0.0024118738
1657		O=C1C=CCC2N1CC4CCCN3CCCC2C34	Training	-0.1	0.3989312279
1658		O1CCN(CC1)C(c2ccccc2)N3CCOCC3	Training	1.29	0.6089147501
1659		O=C(OCC)C1=CN(C(=O)OCC)C2N(C1(=O))C(C)CCC2	Training	0.69	0.5604153716
1660		O=[N+]([O-])OC2COc1c(OCC(O)CNC(C)C)cccc1C2	Training	0.5	0.8499872342
1661		O=C2c1c(ncn1CCC)N(C(=O)N2CCCCC(=O)C)C	Training	0.49	0.5723169465
1662		O=C(Oc1cccc(c1)C(C)C)NCC(=O)CSP(OC)(OC)=S	Training	0.04	-0.4108675791
1663		O=C(Oc1ccc(cc1)C)CCCCCCC	Training	0.83	0.4383218008
1664		O1CC3(COC1C2CC=CCC2)(CC=CCC3)	Training	1.35	1.0803706129
1665		O=C(O)C(C)(C)CCCOc1cc(ccc1C)C	Training	0.28	0.6363454747
1666		O=C(O)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C	Training	0.75	0.8026251989
1667		O=C4OC1OC2(OOC13(C(CCC(C)C3(CC2))C4C))(C)	Training	1.3	1.3152413356
1668		O1c2ccc(OC(OCCOCCOCC)C)cc2(OC1)	Training	0.83	0.5466866035
1669		O=S(OCCCl)OC(C)COc1ccc(cc1)C(C)(C)C	Training	1.07	0.932239806
1670		O=C(OCCCC)C1=C[N+](=C2N(C1(=O))C(C)CCC2)C	Training	0.54	0.6037192544
1671		O=C(ON=CC(C)(C)SC)N(C)SN(C)Cc1ccccc1	Training	-1.56	-1.9274453201
1672		O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(C)C	Training	1.21	1.1046919703
1673		O=C(NCC1N(CC)CCC1)c2cc(ccc2(OC))S(=O)(=O)N	Training	0.88	1.0088386493
1674		O=C(N(Cc1ccccc1)C(C)C)C(C)(C)C	Training	1.41	1.1950661332
1675		O(c1cccc2OCC(Oc12)CNCCCC)CC	Training	0.12	0.5192315623
1676		OC(COc1ccccc1(OCC=C))CNC(C)C	Training	-0.15	0.7209111656
1677		OC(COc2cccc1c2(OCC(O)C1))CNC(C)C	Training	0.82	0.6992653656
1678		O=C1NC(=O)CC(C1)CC(O)C2C(=O)C(C)CC(O)(C)C2	Training	-2	-999
1679		O(c1ccc(cc1Cl)C(CN(C)C)C(C)CC)C	Training	0.23	0.3138460042
1680		Fc1ccc(OC)c(c1)C(CN(C)C)C(C)CC	Training	0.07	0.2111197358
1681		O=C(N(c1ccc(OCC)cc1)C)C(N(C)C)C(O)C	Training	0.63	1.2328510206
1682		O=C(NCCN(CC)CC)c1cc(ccc1(OC))S(=O)(=O)C	Training	1.12	0.6704016155
1683		Oc1ccc(cc1)CCCCCCCCC	Training	0.87	1.135047056
1684		O=C(OCC(OCC(OCC(OC(=O)C=C)C)C)C)C=C	Training	1.32	1.1098175369
1685		OC(COc1cccc(c1C)C)CNC(C)(C)C	Training	0.3	0.2782599295
1686		N13(CCCCC1CC4N2CCCCC2C(C3)C4)	Training	0.61	0.4968471397
1687		OCC=C(C)CCC=C(C)CCC=C(C)C	Training	1.43	1.5587095792
1688		O=C(OCCCC)C1CCC(C(=O)OCCCC)C1	Training	1.38	1.4141583828
1689		O(CC1OC1)CC(COCC2OC2)(COCC3OC3)CC	Training	1.05	1.1394154401
1690		Oc1c(cc(cc1CN(C)C)CN(C)C)CN(C)C	Training	0.66	0.6756355054
1691		O=C(OC2CCC(N1CCCCC1)CC2)C(C)C	Training	1.09	0.7638871369
1692		N#CSCCOC(=O)CCCCCCCCCCC	Training	0.24	1.1396247704
1693		N#CSCCCCCCCCCCCCCC	Training	1.77	-999
1694		O=C(ON=CC(C)(C)SC)N(C)SN(CCCC)CCCC	Training	-1.45	-999
1695		O=S([O-])(OCC(O)COCCCCCCCCCCCC)=S	Training	0.68	0.4927415532
1696		O=P(CCC(C)C)(CCC(C)C)CCC(C)C	Training	0.93	0.8066964804
1697		NC(C)CNCCCCCCCCCCCC	Training	0.06	0.4490784165
1698		O=P(OCC)(OCC)C(SCC)(P(=O)(OCC)OCC)P(=O)(OCC)OCC	Training	-1.82	-1.3065054714
1699		O=C(Oc1ccccc1)n3c(nc2cc(c(cc23)Cl)Cl)C(F)(F)F	Training	-0.19	-0.6848122585
1700		O=C(O)c2ccc1C(=O)c3ccccc3(C(=O)c1c2[N+](=O)[O-])	Training	0.83	1.3979849683
1701		O=C1c3ccccc3(C(=O)C1c2c(cccc2Cl)Cl)	Training	0.21	0.1021306438
1702		O=C2c3ccc(cc3(C(=O)C2(c1ccccc1)))Br	Training	-0.3	0.173577637
1703		O=C2c3cccc(c3(C(=O)C2(c1ccccc1)))Br	Training	0.4	-0.0933368172
1704		O=C(O)c2cc(c(Oc1ccc(OC(=O)C)c(c1)I)c(c2)I)I	Training	0.85	-999
1705		c1cc2ccc3cccc4ccc(c1)c2c34	Training	1.13	0.6623190953
1706		O=C2c1cccc(c1C(=O)C2c3c(cccc3Cl)Cl)C	Training	0.19	-0.0581943574
1707		O=C1c4cc(ccc4(NC1=C2Nc3ccc(cc3(C2(=O)))S(=O)(=O)O))S(=O)(=O)O	Training	0.63	-999
1708		n1nc2n(c1)c4ccc(cc4(C(=NC2)c3ccccc3))Cl	Training	0.93	0.9032205092
1709		O=[N+]4c1ccccc1N(O)c3ccc2ccccc2c34	Training	1.24	-999
1710		OC3(c1ccc(c(c1)Cl)Cl)(c4ccccc4(C2=NCCN23))	Training	0.05	-0.3975897105
1711		O=[N+]([O-])c1cc(cc(c1N(Cc2c(F)cccc2Cl)CC)[N+](=O)[O-])C(F)(F)F	Training	0.87	-1.3853374515
1712		O=C1N(c3ccc(cc3(C(=NC1)c2ccccc2(F)))Cl)C	Training	0.76	1.1948266379
1713		O=C(O)C(c1ccc2oc(nc2(c1))c3ccc(cc3)Cl)C	Training	-0.41	0.1594368526
1714		O=C(O)C(Oc3ccc(Oc1nc2ccc(cc2(o1))Cl)cc3)C	Training	0.8	0.6268761269
1715		O=C1N(c3ccc(cc3(C(=NC1)c2ccccc2(F)))[N+](=O)[O-])C	Training	0.12	0.4775827143
1716		N#COc1ccc(cc1)C(c2ccc(OC#N)cc2)C	Training	0.58	1.1452608415
1717		O=Cc2c(O)n(nc2(c1ccccc1))c3ccccc3	Training	0.48	-999
1718		O=C(O)c1ccccc1N2C(=O)c3ccccc3(N=C2C)	Training	0.71	0.1486674475
1719		O=C2Oc3ccc1ccccc1c3(C=C2C(=O)OCC)	Training	0.77	-0.2902241782
1720		O=C(O)C(c1ccc2Oc3ccccc3(C(=O)c2(c1)))C	Training	0.43	-0.1683562536
1721		O=C(O)CCC(=O)c2ccc3oc1ccccc1c3(c2)	Training	0.68	0.7905816477
1722		O=C(O)Cc1ccc2OCc3ccccc3(C(=O)c2(c1))	Training	-0.27	-0.2972608482
1723		O=C(OC2c3cccc(O)c3(C(=O)c1c(O)cccc12))C	Training	0.09	0.4680854611
1724		n1ccn(c1)CC(OCc2ccsc2Cl)c3ccc(cc3Cl)Cl	Training	0.3	0.5115315665
1725		O=C(OC)C(Oc2ccc(Oc1ncc(cc1Cl)C(F)(F)F)cc2)C	Training	0.02	0.4974192065
1726		OC3(c1cccc(c1)Cl)(c4ccccc4(C2=NCCN23))	Training	-0.15	-0.3349151052
1727		OC3(c1ccc(cc1)Cl)(c4ccccc4(C2=NCCN23))	Training	-0.89	-0.078685172
1728		Fc1ccc(cc1)C3(O)(c4ccccc4(C2=NCCN23))	Training	-0.13	-0.3451834795
1729		O=C(O)CCN(C(=O)c1c(cc(c(N)c1I)I)I)c2ccccc2	Training	0.63	0.8657466936
1730		c1ccc(cc1)Nc2ccc3ccccc3(c2)	Training	1.6	1.0902475947
1731		c1ccc(cc1)Nc3cccc2ccccc23	Training	0.87	1.3680809638
1732		O=C1N(c3ccc(cc3(C(=NC1)c2ccccc2))[N+](=O)[O-])C	Training	0.52	0.3476860959
1733		O=C(OC)Nc1nc2cc(ccc2([nH]1))C(=O)c3ccccc3	Training	0.38	0.9494602445
1734		O=C(N)C2c3ccccc3(C=Cc1ccccc12)	Training	0.88	0.6457454609
1735		Oc1ccc(cc1)Nc2ccc3ccccc3(c2)	Training	1.34	1.1705269008
1736		O=C(O)Cc1ccc2NCc3ccccc3(C(=O)c2(c1))	Training	0.48	-0.002871144
1737		O=C(O)CCCN1C(=O)c3cccc2cccc(C1(=O))c23	Training	1.15	0.4560749502
1738		O=C(c1ccccc1)N(c2ccc(c(c2)Cl)Cl)C(=O)N(C)C	Training	1.17	0.6574342418
1739		O=C(OCC)C(O)(c1ccc(cc1)Cl)c2ccc(cc2)Cl	Training	0.33	0.9251348829
1740		O=C(OC)C(Oc2ccc(Oc1ccc(cc1Cl)Cl)cc2)C	Training	0.15	0.5433233756
1741		O=C(OC(C(Cl)(Cl)Cl)P(=O)(Oc1ccccc1)Oc2ccccc2)C	Training	0.89	0.7365418851
1742		[O-][N+]2=C(c1ccccc1)c3cc(ccc3(N=C(NC)C2))Cl	Training	0.12	0.7988591195
1743		O=C1c3ccccc3(N=C(N1c2ccccc2C)C)	Training	-0.13	0.0868709149
1744		O=C(O)C(c1ccc(cc1)c2nc3ccccn3(c2))C	Training	0.04	0.8342042079
1745		O=C(O)C(c1ccc(cc1)n2nc3ccccc3(c2))C	Training	0.77	0.1345595726
1746		O=C(O)COc1nn(c2ccccc12)Cc3ccccc3	Training	0.63	0.6685159422
1747		O=C(C=Cc1ccc(cc1)c2ccccc2)C	Training	1	1.0922751793
1748		O=C(OCc1ccccc1)C=Cc2ccccc2	Training	1.35	1.2420718212
1749		O=C(O)C(c1cccc(c1)C(=O)c2ccccc2)C	Training	-0.61	-0.0578647275
1750		O=C(O)c2cc(ccc2(C(=O)c1ccccc1))CC	Training	1.24	1.2852081169
1751		O=C(OCCOC(=O)c1ccccc1)c2ccccc2	Training	1.3	1.260645509
1752		FC(F)(F)c2nc1c(cc(cc1Cl)Cl)c(c2)C(O)C3NCCCC3	Training	0.38	0.3453729263
1753		N3=C(c1ccccc1)c2cc(ccc2N(C)CC3)Cl	Training	0.47	1.047131214
1754		O=S(c1nc2ccc(OC(F)F)cc2([nH]1))Cc3nccc(OC)c3(OC)	Training	0.26	0.81
1755		Fc1ccc(cc1)[Si](c2ccc(F)cc2)(C)Cn3ncnc3	Training	0.33	-999
1756		FC(F)(F)c1cccc(c1)C(O)(c2ccccc2)CC	Training	0.9	0.529688852
1757		O=C(OCCF)Cc1ccc(cc1)c2ccccc2	Training	-1.63	0.0180179951
1758		N4=C(N)N3c1ccccc1Cc2ccccc2C3C4	Training	-0.17	0.4228243027
1759		O=C1c3cc(N)ccc3(N=C(N1c2ccccc2C)C)	Training	-0.65	0.3237325232
1760		O=[N+]([O-])c2ccc(Nc1c(cc(cc1C(C)(C)C)[N+](=O)[O-])[N+](=O)[O-])c(c2)[N+](=O)[O-]	Training	-2.31	-1.3756469462
1761		O=C(N)C3c1ccccc1CCc2ccccc23	Training	1.01	0.5972370941
1762		O=C(O)C3N2C(=O)C(NC(=O)COc1ccc(c(c1)Cl)Cl)C2SC3(C)(C)	Training	0.74	0.7823798331
1763		OC(c1ccc(cc1)Cl)(c2ccc(cc2)Cl)COCC	Training	1.21	0.5983391211
1764		O=C(OC)C(c1ccccc1Cl)N3Cc2ccsc2CC3	Training	0.66	0.7575226895
1765		O=C(Oc1cccc(c1)NC(=O)OCC)Nc2ccccc2	Training	1.5	-999
1766		O=C(O)C3=C(COC(=O)N)CSC2N3(C(=O)C2(NC(=O)C(=NOC)c1occc1))	Training	1.37	1.1223193331
1767		O=C1c3cccc2cccc(C(=O)N1(OP(OCC)(OCC)=S))c23	Training	0.14	-0.507597678
1768		O=C1c3cccc2cccc(C(=O)N1(OP(=O)(OCC)OCC))c23	Training	-0.7	-0.2195502708
1769		O=C(OCCc1ccccc1)Cc2ccccc2	Training	1.8	0.9166990674
1770		O=C(O)C(OCC)(c1ccccc1)c2ccccc2	Training	0.59	-999
1771		n1cccc(c1)C(=CCN(C)C)c2ccc(cc2)Br	Training	0.34	-0.1166811742
1772		c1ccc(cc1)C(c2ccc(c(c2C)C)Cl)C	Training	0.94	0.7766458408
1773		c1ccc(cc1)C=Cc2ccc(cc2)N(C)C	Training	-0.65	0.5548823029
1774		O=C(c2cccc(N=Nc1ccc(cc1)N(C)C)c2)C	Training	1.26	0.9678974831
1775		O=C(O)CCC(=O)Nc1ccc(cc1)NS(=O)(=O)c2ccc(N)cc2	Training	0.62	1.0410056421
1776		O=S(c1nc2ccccc2([nH]1))Cc3ccccc3N(C)C	Training	0.64	-999
1777		O=C(N(C)C)C(c1ccccc1)c2ccccc2	Training	0.46	0.4918059123
1778		O=C(NC)c1cc(ccc1(OCCO))c2ccccc2	Training	1	-0.4590842738
1779		c1ccc(cc1)C(c2cccc(c2C)C)C	Training	0.99	1.0821831385
1780		O=C2Oc1cc(OP(=O)(OCCCCl)OCCCCl)ccc1C(=C2Cl)C	Training	-0.32	-0.3682676667
1781		Nc1cccc3c1CN(C)CC3(c2ccccc2)	Training	0.05	-0.036791499
1782		O=C(Nc2cccc(N=Nc1ccc(cc1)N(C)C)c2)C	Training	1.32	1.1214382555
1783		O=C(NNCCC(=O)NCc1ccccc1)c2ccncc2	Training	0.76	0.7341640208
1784		O=C(O)Cc2cccc1c2(cccc1CC(C)C)	Training	0.39	0.8536812413
1785		O(C)Cc1ccc(cc1)c2ccc(cc2)COC	Training	0.75	0.833503619
1786		O=C(O)C(c2cccc1ccccc12)(CC)CC	Training	0.65	0.7356263042
1787		O=C(OCCO)C(c1ccc2cc(OC)ccc2(c1))C	Training	0.8	0.3628475569
1788		O=C(O)CCC(=O)c2ccc(OC)c1oc(c(c12)C)CC	Training	0.81	0.8054571223
1789		n1ccccc1C(c2ccc(cc2)Br)CCN(C)C	Training	-0.36	0.009627478
1790		n1ccccc1C(c2ccc(cc2)Cl)CCN(C)C	Training	-0.37	-0.0674031678
1791		O=C(O)C2c1cc(c(cc1CC2)C3CCCCC3)Cl	Training	-0.9	-0.0939202454
1792		O=C(O)CCC(=O)c1ccc(c(c1)Cl)C2CCCCC2	Training	-0.39	-0.5766162003
1793		c1ccc(cc1)CCCNc2ccc(cc2)C	Training	0.85	0.419436829
1794		N#CC(c1ccccc1)(Cn2cncc2)CCCC	Training	0.8	0.309942706
1795		O=C1C(=C(N(C(=O)N1c2ccccc2)CC=C)C)N(C)C	Training	0.93	0.6307860945
1796		O=C(O)C3N2C(=O)C(NC(=O)C(N)c1ccccc1)C2SC3(C)(C)	Training	1.39	1.0261570956
1797		n1cccc3c1N(c2ccccc2S3)CC(N(C)C)C	Training	0.58	0.3471984979
1798		n1cccc3c1N(c2ccccc2S3)CCCN(C)C	Training	0.28	0.3122519321
1799		O=C3c1c(ncn1Cc2ccc(cc2)N(C)C)N(C(=O)N3C)C	Training	0.55	0.0952682962
1800		N#CCCCCCNC(=O)n2c(nc1ccccc12)NC(=O)OC	Training	0.88	-999
1801		O=C(OC1CC3NC(C1)C2OC23)C(c4ccccc4)CO	Training	0.97	0.6469472353
1802		c1ccc2c(c1)ccc(c2C(C)C)C(C)C	Training	1.85	1.0938229421
1803		c1cc(cc2cc(ccc12)C(C)C)C(C)C	Training	1.29	1.3577934963
1804		n1ccccc1N(Cc2ccc(cc2)Cl)CCN(C)C	Training	0.5	0.048292511
1805		O=C2Oc1cc(OP(=O)(OCCC)OCCC)ccc1C(=C2Cl)C	Training	-0.67	-0.2784813613
1806		n1ccccc1C(c2ccccc2)CCN(C)C	Training	0.17	-0.1492540928
1807		OC(c1ccccc1)CNCCc2ccc(N)cc2	Training	-0.16	0.8307179716
1808		OC(c1noc(c1)c2ccccc2)CN3CCCCC3	Training	0.86	-0.1438275482
1809		Oc1c(ncc(c1C)CSSCc2cnc(c(O)c2C)C)C	Training	0.72	1.1012671565
1810		Oc1c(ncc(c1CO)CSCc2cnc(c(O)c2CO)C)C	Training	1.25	1.0125020201
1811		Oc1c(ncc(c1CO)CSSCc2cnc(c(O)c2CO)C)C	Training	1.13	0.9684113463
1812		O=C2N3C(=Nc1ccc(cc1N3(C(=O)C2CCC))C)N(C)C	Training	0.78	0.2034415239
1813		O=C(OCC4C=1C(=O)C(=N)C(C(=O)C=1N3CC2N(C)C2C34(OC))C)N	Training	-0.71	-1.05
1814		O=C(O)C2CC=C(c1ccccc1)C(CC)C2(C)	Training	0.98	1.2515115993
1815		O=C(O)CCC1(C(=O)CCCC1)(Cc2ccccc2)	Training	0.89	0.3066604491
1816		O=C(O)C2c1cc(O)c(cc1CC2)C3CCCCC3	Training	0.24	-0.3052673916
1817		O(c1ccc(cc1)SSc2ccc(OP(OC)(OC)=S)cc2)P(OC)(OC)=S	Training	-1.62	-0.1010198724
1818		O=S(=O)(c1ccc(OP(OC)(OC)=S)cc1)c2ccc(OP(OC)(OC)=S)cc2	Training	0.6	-0.892257271
1819		O=C(OCCCN1CCCCC1C)c2ccc(c(c2)Cl)Cl	Training	0.39	0.0786856636
1820		O=C(OCC(CC)CCCC)COc1cc(c(cc1Cl)Cl)Cl	Training	0.14	0.18672013
1821		n1[nH]c(cc1CCN3CCN(c2cccc(c2)Cl)CC3)C	Training	0.18	0.3333011444
1822		O=C1OCC3=C(C1)C24(C(=CCC(OC)C2)CCN4(CC3))	Training	0.01	-0.6204066045
1823		O=C(c1oc2c(OCC(O)CNC(C)C)cccc2(c1))C	Training	0.5	0.8450689502
1824		O=C1NC(=O)SC1c2ccc(OCCCCC)c(OCC)c2	Training	1.13	0.6043082286
1825		O=C(OCC(CC)CCCC)COc1ccc(cc1Cl)Cl	Training	-0.04	0.3249859139
1826		n1cccc2c1c(cc(c2(NCCN(CC)CC))Cl)C	Training	0.49	0.2184840315
1827		OC(Cn1ncnc1)(CCc2ccc(cc2)Cl)C(C)(C)C	Training	0.74	0.8525519926
1828		O=C(OCC)CN(C(=O)CCl)c1c(cccc1CC)CC	Training	0.87	0.883503
1829		O=C(Oc1cc(c(c(c1)C)N(CC=C)CC=C)C)NC	Training	-0.49	-0.7463469741
1830		O=C(c2ccc(OCCCCc1nnn[nH]1)c(c2(O))CCC)C	Training	0.31	0.6586902995
1831		n1cc(c(nc1N)N)Cc2cc(OC)c(OCCOC)c(OC)c2	Training	0.54	0.811964178
1832		OCC2c1ccc(cc1CC2)C3CCCCC3	Training	-0.14	0.2899066721
1833		O=C(OCC(C)C)c1ccccc1(C(=O)OCC(C)C)	Training	1.57	1.2100956222
1834		O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Training	1.36	1.3853971724
1835		O=C(O)c1ccccc1(C(=O)OCC(CC)CCCC)	Training	0.68	1.6188286144
1836		O(CC(CC)CCCC)C(c1ccc(c(c1)Cl)Cl)CBr	Training	-0.18	-0.103172165
1837		O=C(OCCCC)Cc1ccc(cc1)N(CCCl)CCCl	Training	-1.22	-0.9979537835
1838		N1=C(NCC(C)(C1)CC)C(OCC)c2ccc(cc2)Cl	Training	-0.43	-0.1048178433
1839		Fc1cccc(c1)C(OCC)C2=NCC(C)(CN2)CC	Training	-0.23	0.0443624617
1840		Fc1cc(ccc1(OC))C(OCC)C2=NCC(C)(C)CN2	Training	0.04	0.1934346008
1841		O=C(c1ccc(cc1)C)C(C)CN2CCCCC2	Training	0.71	0.47419743
1842		O(c1ccc(N)cc1)C2CC3CCC2(C)C3(C)(C)	Training	0.43	0.6855717633
1843		O=C(c1ccc(cc1)C)C(N2CCCC2)CCC	Training	0.34	0.5371014866
1844		O=C(OCC)C2(c1ccccc1)(CCN(C)CCC2)	Training	0.11	-0.0996974884
1845		O=C(OC2(c1ccccc1)(CCN(C)CC2(C)))CC	Training	-0.52	-0.0806954078
1846		OC(c2oc1c(cccc1CC)c2)CNC(C)(C)C	Training	0.4	0.6054770845
1847		O=C(Oc1cc(cc(c1)C(C)C)C)N(C(=O)CCC)C	Training	0.64	0.5460343977
1848		OC(c1oc2c(OCC(O)CNC(C)C)cccc2(c1))C	Training	0.86	0.7539179542
1849		O=C1OC3CCN2CC=C(COC(=O)C(O)(C)C(O)(C)C1C)C23	Training	-0.9	-0.8329009729
1850		O=C(OC(c1ccccc1)C)C=C(OP(=O)(OCC)OCC)C	Training	-0.72	-0.6754873749
1851		N1=C(NCC1)Cc2c(cc(cc2C)C(C)(C)C)C	Training	-0.09	-999
1852		Oc1c(cc(c(c1C)CC2=NCCN2)C)C(C)(C)C	Training	-2.64	0.0280214071
1853		N1=C(NCC(C)(C)C1)C(OCC)c2ccc(OC)cc2	Training	0.35	0.3423919168
1854		O=C2Nc1cccc(OCC(O)CNC(C)(C)C)c1CC2	Training	0.61	0.7942094765
1855		O=C(O)c1ccccc1(OCC(O)COCCCCCC)	Training	0.83	0.990175029
1856		O(CC(CC)CCCC)C(c1ccccc1)CBr	Training	-0.1	-0.0841683439
1857		O(CCCCC)C(c1ccc(cc1)C(C)C)CBr	Training	-0.1	-0.1323579135
1858		O=C3c1c(ncn1CCN(C)C2CCCCC2)N(C(=O)N3C)C	Training	0.79	0.1694861578
1859		O=C(Oc1cc(cc(c1)C(C)(C)C)C(C)(C)C)NC	Training	0.84	0.2908875769
1860		OC2(c1cccc(OC)c1)(CCCCC2(CN(C)C))	Training	-0.12	0.3159115716
1861		O=C(N(CCCC)CCCC)SCc1ccccc1	Training	1.3	1.0383360932
1862		O=C(N(C(C)CC)C(C)CC)SCc1ccccc1	Training	1.55	0.9418997321
1863		O(c1ccc(cc1Cl)C(CN(C)C)C(C)CC)CC	Training	0.2	0.3845008974
