ID	CAS	SMILES	Status	LC50 Exp
405	616-73-9	O=[N+]([O-])c1cc(c(cc1(O))C)[N+](=O)[O-]	Training	4.79
406	616-86-4	O=[N+]([O-])c1cc(OCC)ccc1(N)	Training	3.85
407	618-85-9	O=[N+]([O-])c1cc(cc(c1)C)[N+](=O)[O-]	Training	3.91
408	618-87-1	O=[N+]([O-])c1cc(N)cc(c1)[N+](=O)[O-]	Training	3.93
409	619-15-8	O=[N+]([O-])c1ccc(c(c1)C)[N+](=O)[O-]	Training	5.15
410	619-24-9	N#Cc1cccc(c1)[N+](=O)[O-]	Training	3.39
411	619-50-1	O=C(OC)c1ccc(cc1)[N+](=O)[O-]	Training	3.89
412	619-72-7	N#Cc1ccc(cc1)[N+](=O)[O-]	Training	3.78
413	619-80-7	O=C(N)c1ccc(cc1)[N+](=O)[O-]	Training	3.1
414	620-88-2	O=[N+]([O-])c2ccc(Oc1ccccc1)cc2	Training	4.91
415	621-08-9	O=S(Cc1ccccc1)Cc2ccccc2	Training	3.46
416	621-42-1	O=C(Nc1cccc(O)c1)C	Training	2.13
417	622-40-2	OCCN1CCOCC1	Training	1.69
418	623-25-6	c1cc(ccc1CCl)CCl	Training	6.65
419	625-86-5	o1c(ccc1C)C	Training	3.13
420	627-30-5	OCCCCl	Training	2.07
421	628-76-2	C(CCCl)CCCl	Training	3.75
422	629-04-9	CCCCCCCBr	Training	5.09
423	629-19-6	CCCSSCCC	Training	4.76
424	631-64-1	O=C(O)C(Br)Br	Training	3.5
425	634-66-2	c1cc(c(c(c1Cl)Cl)Cl)Cl	Training	5.29
426	634-67-3	Nc1ccc(c(c1Cl)Cl)Cl	Training	4.74
427	635-93-8	O=Cc1cc(ccc1(O))Cl	Training	5.31
428	645-56-7	Oc1ccc(cc1)CCC	Training	4.09
429	653-37-2	O=Cc1c(F)c(F)c(F)c(F)c1(F)	Training	5.25
430	685-91-6	O=C(N(CC)CC)C	Training	1.89
431	693-21-0	O=[N+]([O-])OCCOCCO[N+](=O)[O-]	Training	2.6
432	693-54-9	O=C(C)CCCCCCCC	Training	4.5
433	693-65-2	O(CCCCC)CCCCC	Training	4.71
434	693-98-1	n1cc[nH]c1C	Training	2.46
435	700-38-9	O=[N+]([O-])c1ccc(cc1(O))C	Training	3.51
436	700-58-3	O=C1C2CC3CC1CC(C2)C3	Training	3.39
437	706-14-9	O=C1OC(CC1)CCCCCC	Training	3.98
438	708-76-9	O=Cc1c(O)cc(OC)cc1(OC)	Training	4.83
439	709-98-8	O=C(Nc1ccc(c(c1)Cl)Cl)CC	Training	4.4
440	732-11-6	O=C1c2ccccc2(C(=O)N1CSP(OC)(OC)=S)	Training	4.59
441	732-26-3	Oc1c(cc(cc1C(C)(C)C)C(C)(C)C)C(C)(C)C	Training	6.63
442	761-65-9	O=CN(CCCC)CCCC	Training	3.25
443	764-01-2	OCC#CC	Training	3.84
444	769-28-8	N#CC=1C(=O)NC(=CC=1C)C	Training	2.98
445	786-19-6	O(CC)P(OCC)(=S)SCSc1ccc(cc1)Cl	Training	6.18
446	791-28-6	O=P(c1ccccc1)(c2ccccc2)c3ccccc3	Training	3.72
447	813-78-5	O=P(O)(OC)OC	Training	3.85
448	818-61-1	O=C(OCCO)C=C	Training	4.38
449	821-55-6	O=C(C)CCCCCCC	Training	3.97
450	822-86-6	C1CCC(C(C1)Cl)Cl	Training	3.92
451	831-82-3	Oc2ccc(Oc1ccccc1)cc2	Training	4.58
452	868-77-9	O=C(OCCO)C(=C)C	Training	2.76
453	868-85-9	O=P(OC)OC	Training	2.69
454	872-31-1	c1cscc1Br	Training	4.42
455	882-33-7	c1ccc(cc1)SSc2ccccc2	Training	6.3
456	920-66-1	FC(F)(F)C(O)C(F)(F)F	Training	2.84
457	924-41-4	OC(C=C)CC=C	Training	3.41
458	927-74-2	C#CCCO	Training	3.29
459	928-96-1	OCCC=CCC	Training	2.42
460	928-97-2	OCCC=CCC	Training	2.57
461	932-16-1	O=C(c1cccn1C)C	Training	2.9
462	937-20-2	O=C(c1ccc(cc1)Cl)CCl	Training	4.21
463	955-83-9	o1c(ccc1c2ccccc2)c3ccccc3	Training	6.64
464	957-51-7	O=C(N(C)C)C(c1ccccc1)c2ccccc2	Training	3.7
465	1071-83-6	O=C(O)CNCP(=O)(O)O	Training	4.57
466	1072-97-5	n1cc(ccc1N)Br	Training	2.99
467	1080-32-6	O=P(OCC)(OCC)Cc1ccccc1	Training	2.83
468	1112-38-5	OP(OC)(OC)=S	Training	3.52
469	1122-54-9	O=C(c1ccncc1)C	Training	2.86
470	1126-46-1	O=C(OC)c1ccc(cc1)Cl	Training	4.16
471	1126-79-0	O(c1ccccc1)CCCC	Training	4.42
472	1129-35-7	N#Cc1ccc(cc1)C(=O)OC	Training	3.54
473	1194-65-6	N#Cc1c(cccc1Cl)Cl	Training	4.42
474	1198-55-6	Oc1c(O)c(c(c(c1Cl)Cl)Cl)Cl	Training	5.29
475	1445-75-6	O=P(OC(C)C)(OC(C)C)C	Training	2.45
476	1482-15-1	C#CC(O)(C)C(C)C	Training	2.74
477	1484-13-5	C=Cn2c3ccccc3(c1ccccc12)	Training	7.81
478	1484-26-0	O(c1cccc(N)c1)Cc2ccccc2	Training	4.34
479	1563-66-2	O=C(Oc2cccc1c2(OC(C)(C)C1))NC	Training	5.4
480	1582-09-8	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F	Training	6.5
481	1634-04-4	O(C)C(C)(C)C	Training	2.12
482	1647-16-1	C=CCCCCCCC=C	Training	5.68
483	1689-82-3	Oc2ccc(N=Nc1ccccc1)cc2	Training	5.16
484	1689-83-4	N#Cc1cc(c(O)c(c1)I)I	Training	4.74
485	1689-84-5	N#Cc1cc(c(O)c(c1)Br)Br	Training	4.3
486	1745-81-9	Oc1ccccc1CC=C	Training	3.98
487	1757-18-2	O(C(=CCl)c1cc(ccc1Cl)Cl)P(OCC)(OCC)=S	Training	6.14
488	1761-61-1	O=Cc1cc(ccc1(O))Br	Training	5.19
489	1773-89-3	O=C(OC)C1C(C(=O)OC)C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl	Training	5.38
490	1861-40-1	O=[N+]([O-])c1cc(cc(c1N(CC)CCCC)[N+](=O)[O-])C(F)(F)F	Training	6.53
491	1871-57-4	C=C(CCl)CCl	Training	5.82
492	1891-95-8	N#Cc1cc(c(O)c(c1)Cl)Cl	Training	3.89
493	1912-24-9	n1c(nc(nc1NC(C)C)Cl)NCC	Training	4.16
494	1929-82-4	n1c(cccc1Cl)C(Cl)(Cl)Cl	Training	4.37
495	1962-75-0	O=C(OCCCC)c1ccc(cc1)C(=O)OCCCC	Training	5.67
496	1965-09-9	Oc2ccc(Oc1ccc(O)cc1)cc2	Training	4.54
497	2028-63-9	C#CC(O)C	Training	3.78
498	2034-22-2	n1c([nH]c(c1Br)Br)Br	Training	4.68
499	2074-67-1	O=P(O)(CO)CO	Training	3.64
500	2104-64-5	O=[N+]([O-])c2ccc(OP(OCC)(c1ccccc1)=S)cc2	Training	6.21
501	2117-11-5	C#CCC(O)C	Training	3.38
502	2138-22-9	Oc1ccc(cc1(O))Cl	Training	4.96
503	2150-47-2	O=C(OC)c1ccc(O)cc1(O)	Training	3.6
504	2163-79-3	O=C(NC1CC2CC1C3CCCC23)N(C)C	Training	3.84
505	2176-62-7	n1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	5.73
506	2212-67-1	O=C(N1CCCCCC1)SCC	Training	3.84
507	2216-51-5	OC1CC(C)CCC1(C(C)C)	Training	3.92
508	2232-08-8	O=S(=O)(c1ccc(cc1)C)n2cncc2	Training	3.73
509	2234-16-4	O=C(c1ccc(cc1Cl)Cl)C	Training	4.21
510	2243-27-8	N#CCCCCCCCC	Training	4.31
511	2245-38-7	c2cc1cc(c(cc1c(c2)C)C)C	Training	4.43
512	2310-17-0	O=C2Oc1cc(ccc1N2CSP(OCC)(OCC)=S)Cl	Training	6.2
513	2357-47-3	Fc1ccc(N)cc1C(F)(F)F	Training	3.78
514	2385-85-5	C13(C4(C2(C5(C(C1(C2(Cl)Cl)Cl)(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	3.62
515	2416-94-6	Oc1c(ccc(c1C)C)C	Training	4.22
516	2439-77-2	O=C(N)c1ccccc1(OC)	Training	3.1
517	2447-79-2	O=C(N)c1ccc(cc1Cl)Cl	Training	3.3
518	2455-24-5	O=C(OCC1OCCC1)C(=C)C	Training	3.69
519	2460-49-3	Oc1cc(c(cc1(OC))Cl)Cl	Training	4.64
520	2495-37-6	O=C(OCc1ccccc1)C(=C)C	Training	4.58
521	2499-95-8	O=C(OCCCCCC)C=C	Training	5.15
522	2536-31-4	O=C(OC)C2(O)(c3ccccc3(c1ccc(cc12)Cl))	Training	5.28
523	2691-41-0	O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1	Training	4.3
524	2759-28-6	c1ccc(cc1)CN2CCNCC2	Training	3.57
525	2764-72-9	c1cc[n+]3c(c1)c2cccc[n+]2CC3	Training	4.12
526	2859-67-8	OCCCc1cnccc1	Training	2.96
527	2869-34-3	NCCCCCCCCCCCCC	Training	6.48
528	2894-51-1	O=C(c1ccc(cc1)Cl)c2ccccc2(N)	Training	5.04
529	2905-69-3	O=C(OC)c1cc(ccc1Cl)Cl	Training	4.17
530	2921-88-2	n1c(OP(OCC)(OCC)=S)c(cc(c1Cl)Cl)Cl	Training	6.35
531	2973-76-4	O=Cc1cc(OC)c(O)c(c1)Br	Training	3.59
532	3179-90-6	O=C1c3c(O)ccc(O)c3(C(=O)c2c(ccc(NCCO)c12)NCCO)	Training	3.84
533	3309-68-0	O(CC)P(OCC)(=S)SCSCCC	Training	5.93
534	3347-22-6	N#CC2=C(C#N)SC=1C(=O)c3ccccc3(C(=O)C=1S2)	Training	6.25
535	3380-34-5	Oc2cc(ccc2(Oc1ccc(cc1Cl)Cl))Cl	Training	5.98
536	3383-96-8	O(c1ccc(cc1)Sc2ccc(OP(OC)(OC)=S)cc2)P(OC)(OC)=S	Training	4.14
537	3389-71-7	C1=CC2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl	Training	6.2
538	3428-24-8	Oc1cc(c(cc1(O))Cl)Cl	Training	5.3
539	3687-13-6	O=S(=O)(Oc1ccc(cc1Cl)Cl)C	Training	4.74
540	3698-83-7	O=[N+]([O-])c1cc(c(cc1Cl)Cl)[N+](=O)[O-]	Training	6.78
541	3923-52-2	C#CC(O)(c1ccccc1)c2ccccc2	Training	4.27
542	3944-76-1	O=CC(C)C(C)CC	Training	3.85
543	4117-14-0	OCC#CCCCCCCC	Training	5.16
544	4253-89-8	CC(C)SSC(C)C	Training	4.26
545	4412-91-3	OCc1cocc1	Training	2.29
546	4460-86-0	O=Cc1cc(OC)c(OC)cc1(OC)	Training	3.6
547	4655-34-9	O=C(OC(C)C)C(=C)C	Training	3.53
548	4798-44-1	OC(C=C)CCC	Training	3.52
549	4839-46-7	O=C(O)CC(C)(C)CC(=O)O	Training	1.06
550	4916-57-8	n1ccc(cc1)CCc2ccncc2	Training	3.09
551	4920-77-8	O=[N+]([O-])c1c(O)cccc1C	Training	3.52
552	5217-47-0	O=C1N(C(N(C(=O)C1)CC)=S)CC	Training	1.65
553	5267-27-6	O=[N+]([O-])c1cc(c(cc1(N))C)[N+](=O)[O-]	Training	4.92
554	5292-45-5	O=C(OC)c1ccc(C(=O)OC)c(c1)[N+](=O)[O-]	Training	4.56
555	5331-91-9	c1cc2c(cc1Cl)NC(=S)S2	Training	4.8
556	5372-81-6	O=C(OC)c1ccc(C(=O)OC)c(N)c1	Training	4.37
557	5395-75-5	CCSCCSCC	Training	3.4
558	5464-71-1	O=C(OCCCCCCCC)C(O)C	Training	3.93
559	5465-65-6	O=C(c1ccc(c(c1)[N+](=O)[O-])Cl)C	Training	4.56
560	5598-13-0	n1c(OP(OC)(OC)=S)c(cc(c1Cl)Cl)Cl	Training	5.68
561	5598-52-7	O=P(Oc1nc(c(cc1Cl)Cl)Cl)(OC)OC	Training	8.16
562	5673-07-4	O(c1cccc(OC)c1C)C	Training	3.88
563	5683-33-0	n1ccccc1N(C)C	Training	2.98
564	5813-64-9	NCC(C)(C)C	Training	2.26
565	5835-26-7	O=C(O)C1(C)(CCCC2(C)(C3C(=CCC12)CC(C=C)(C)CC3))	Training	5.54
566	5922-60-1	N#Cc1cc(ccc1(N))Cl	Training	3.73
567	5989-27-5	C=C(C)C1CC=C(C)CC1	Training	5.29
568	6175-49-1	O=C(C)CCCCCCCCCC	Training	5.19
569	6203-18-5	O=CC=Cc1ccc(cc1)N(C)C	Training	4.47
570	6284-83-9	O=[N+]([O-])c1c(cc(c(c1Cl)[N+](=O)[O-])Cl)Cl	Training	6.09
571	6491-02-7	O=C(Nc1cccc(c1)Cl)c2cccc(c2(O))[N+](=O)[O-]	Training	6.08
572	6575-09-3	N#Cc1c(cccc1Cl)C	Training	4
573	6602-32-0	Oc1cccnc1Br	Training	2.57
574	6636-78-8	Oc1cccnc1Cl	Training	2.32
575	6921-29-5	C#CCN(CC#C)CC#C	Training	2.65
576	6948-86-3	O(CC)C(OCC)CN(C)CC(OCC)OCC	Training	2.62
577	7209-38-3	NCCCN1CCN(CC1)CCCN	Training	1.81
578	7212-44-4	OC(C=C)(C)CCC=C(C)CCC=C(C)C	Training	5.19
579	7307-55-3	NCCCCCCCCCCC	Training	5.91
580	7383-19-9	C#CC(O)CCCC	Training	4.8
581	7700-17-6	O=C(OC(c1ccccc1)C)C=C(OP(=O)(OC)OC)C	Training	4.42
582	10031-82-0	O=Cc1ccc(OCC)cc1	Training	3.74
583	10202-92-3	O=[N+]([O-])c1ccc(N)c(c1C)[N+](=O)[O-]	Training	4.25
584	10222-01-2	N#CC(C(=O)N)(Br)Br	Training	5.13
585	10453-86-8	O=C(OCc1coc(c1)Cc2ccccc2)C3C(C=C(C)C)C3(C)(C)	Training	7.87
586	13071-79-9	O(CC)P(OCC)(=S)SCSC(C)(C)C	Training	6.28
587	13171-21-6	O=C(C(=C(OP(=O)(OC)OC)C)Cl)N(CC)CC	Training	3.48
588	13209-15-9	c1ccc(c(c1)C(Br)Br)C(Br)Br	Training	5.99
589	13608-87-2	O=C(c1ccc(c(c1Cl)Cl)Cl)C	Training	5.05
590	13909-73-4	O=C(c1ccc(OC)c(OC)c1(OC))C	Training	3.02
591	14321-27-8	c1ccc(cc1)CNCC	Training	3.37
592	14816-18-3	N#CC(=NOP(OCC)(OCC)=S)c1ccccc1	Training	5.01
593	15067-52-4	O=C(OCC(OCCCC)C)C(Oc1cc(c(cc1Cl)Cl)Cl)C	Training	4.73
594	15673-00-4	NCCC(C)(C)C	Training	2.23
595	15972-60-8	O=C(N(c1c(cccc1CC)CC)COC)CCl	Training	4.73
596	16079-88-2	O=C1N(C(=O)C(N1Br)(C)C)Cl	Training	1.23
597	16245-79-7	Nc1ccc(cc1)CCCCCCCC	Training	6.23
598	16672-87-0	O=P(O)(O)CCCl	Training	3.05
599	17109-36-3	O=C(Nc1ccc(cc1Cl)[N+](=O)[O-])c2c(O)c(cc(c2C)Cl)C(C)(C)C	Training	7.69
600	17584-12-2	n1nc(c(nc1N)C)C	Training	2.12
601	18292-97-2	O=[N+]([O-])c1ccc(c(c1[N+](=O)[O-])C)[N+](=O)[O-]	Training	6.32
602	19398-13-1	O=C(OCCOCCCC)C(Oc1cc(c(cc1Cl)Cl)Cl)C	Training	5.57
603	19406-51-0	O=[N+]([O-])c1cc(N)cc(c1C)[N+](=O)[O-]	Training	4.46
604	19549-98-5	C#CC(O)(C)CCC(C)C	Training	3.46
605	19902-04-6	OCCN(CC=C(C)CCC=C(C)C)CC=C(C)CCC=C(C)C	Training	6.04
606	20662-84-4	n1c(oc(c1C)C)C	Training	2.4
607	21725-46-2	N#CC(Nc1nc(nc(n1)Cl)NCC)(C)C	Training	4.12
608	22104-62-7	O=C(C)C(C)CN(C)C	Training	4.18
609	22212-55-1	O=C(OCC)C(N(C(=O)c1ccccc1)c2ccc(c(c2)Cl)Cl)C	Training	5.81
610	22431-62-5	O=C(OCc1coc(c1)Cc2ccccc2)C4C(C=C3CCCC3)C4(C)(C)	Training	8.56
611	22726-00-7	O=C(N)c1cccc(c1)Br	Training	3.33
612	22936-86-3	n1c(nc(nc1NC2CC2)Cl)NC(C)C	Training	4.49
613	23060-14-2	O=C(OCC)CC(C(=O)OCC)S	Training	3.77
614	23135-22-0	O=C(ON=C(C(=O)N(C)C)SC)NC	Training	4.5
615	23184-66-9	O=C(N(c1c(cccc1CC)CC)COCCCC)CCl	Training	5.65
616	24544-04-5	Nc1c(cccc1C(C)C)C(C)C	Training	4.1
617	25474-41-3	O=C(Oc1cccc(c1)C(C)CC)N(C)Sc2ccccc2	Training	6.87
618	26530-20-1	O=C1C=CSN1CCCCCCCC	Training	6.18
619	27304-13-8	O1C2C3C(C(C12Cl)Cl)C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl	Training	8.09
620	28434-00-6	O=C(OC1C(=C(C(=O)C1)CC=C)C)C2C(C=C(C)C)C2(C)(C)	Training	6.66
621	29091-05-2	O=[N+]([O-])c1cc(c(N)c(c1N(CC)CC)[N+](=O)[O-])C(F)(F)F	Training	5.39
622	29553-26-2	FC(F)C(F)(F)C(O)(C)C	Training	2.44
623	32534-95-5	O=C(OCCCCCC(C)C)C(Oc1cc(c(cc1Cl)Cl)Cl)C	Training	4.24
624	33693-04-8	n1c(nc(nc1NCC)NC(C)(C)C)OC	Training	3.64
625	33820-53-0	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(C)C	Training	5.83
626	33878-50-1	O=C(OCC)C(N(C(=O)c1ccccc1)c2ccc(c(c2)Cl)Cl)C	Training	5.68
627	34274-04-9	O(c1cc(cc(OC)c1(OC))CNCCCOC)C	Training	3.3
628	34723-82-5	O1CCCCC1CBr	Training	2.94
629	35367-38-5	O=C(NC(=O)c1c(F)cccc1(F))Nc2ccc(cc2)Cl	Training	2.86
630	35572-78-2	O=[N+]([O-])c1cc(N)c(c(c1)[N+](=O)[O-])C	Training	4.12
631	37529-30-9	Nc1ccc(cc1)CCCCCCCCCC	Training	6.57
632	39515-41-8	N#CC(OC(=O)C1C(C)(C)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	8.17
633	42087-80-9	O=C(OC)c1ccc(cc1[N+](=O)[O-])Cl	Training	3.9
634	42454-06-8	O=Cc1cc(O)ccc1[N+](=O)[O-]	Training	3.6
635	51630-58-1	N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3	Training	8.12
636	52645-53-1	O=C(OCc2cccc(Oc1ccccc1)c2)C3C(C=C(Cl)Cl)C3(C)(C)	Training	7.2
637	54576-32-8	CCSCCCCSCC	Training	4.47
638	55406-53-6	O=C(OCC#CI)NCCCC	Training	6.15
639	55792-61-5	O=C(Nc1ccccc1(OCCCCCCCC))C	Training	5.77
640	56108-12-4	O=C(N)c1ccc(cc1)C(C)(C)C	Training	3.75
641	56348-40-4	CSCCCCCCSC	Training	4.25
642	58138-08-2	O1CC1(c2cc(cc(c2)Cl)Cl)CC(Cl)(Cl)Cl	Training	5.39
643	59756-60-4	O=C1C(=CN(C=C1c2cccc(c2)C(F)(F)F)C)c3ccccc3	Training	4.18
644	61096-84-2	O=Cc1ccc(OCCCCCC)c(OC)c1	Training	4.95
645	65337-13-5	C#CC(O)C	Training	3.78
646	66230-04-4	N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3	Training	9.26
647	66441-23-4	O=C(OCC)C(Oc3ccc(Oc1nc2ccc(cc2(o1))Cl)cc3)C	Training	4.71
648	67485-29-4	FC(F)(F)c3ccc(C=CC(=NN=C1NCC(C)(C)CN1)C=Cc2ccc(cc2)C(F)(F)F)cc3	Training	6.82
649	69770-23-6	O=Cc2cccc(Oc1ccc(cc1)C(C)(C)C)c2	Training	5.84
650	70343-06-5	O=[N+]([O-])c1ccc(c(c1(N))[N+](=O)[O-])C	Training	4.21
651	71862-02-7	O=CNc1cccc(c1C)Cl	Training	3.56
652	79124-76-8	O=Cc2cccc(Oc1ccc(c(c1)Cl)Cl)c2	Training	5.95
653	51-28-5	O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-]	Test	4.22
654	55-18-5	O=NN(CC)CC	Test	2.12
655	57-14-7	NN(C)C	Test	3.88
656	57-43-2	O=C1NC(=O)C(C(=O)N1)(CC)CCC(C)C	Test	3.42
657	59-50-7	Oc1ccc(c(c1)C)Cl	Test	4.4
658	62-53-3	Nc1ccccc1	Test	2.99
659	67-64-1	O=C(C)C	Test	0.85
660	67-66-3	C(Cl)(Cl)Cl	Test	3.09
661	71-55-6	CC(Cl)(Cl)Cl	Test	3.4
662	75-99-0	O=C(O)C(C)(Cl)Cl	Test	2.69
663	76-01-7	C(C(Cl)(Cl)Cl)(Cl)Cl	Test	4.43
664	76-29-9	O=C1C(C2CCC1(C)C2(C)(C))Br	Test	3.53
665	77-71-4	O=C1NC(=O)C(N1)(C)C	Test	0.89
666	78-92-2	OC(C)CC	Test	1.31
667	79-01-6	C(=C(Cl)Cl)Cl	Test	3.47
668	79-20-9	O=C(OC)C	Test	2.27
669	79-94-7	Oc1c(cc(cc1Br)C(c2cc(c(O)c(c2)Br)Br)(C)C)Br	Test	5.83
670	80-62-6	O=C(OC)C(=C)C	Test	2.5
671	83-32-9	c2cc1cccc3c1c(c2)CC3	Test	4.97
672	84-69-5	O=C(OCC(C)C)c1ccccc1(C(=O)OCC(C)C)	Test	5.49
673	86-50-0	O=C1c2ccccc2(N=NN1CSP(OC)(OC)=S)	Test	5.51
674	90-12-0	c1ccc2c(c1)cccc2C	Test	4.2
675	90-15-3	Oc1cccc2ccccc12	Test	4.54
676	90-43-7	Oc1ccccc1c2ccccc2	Test	4.5
677	90-59-5	O=Cc1cc(cc(c1(O))Br)Br	Test	5.52
678	95-52-3	Fc1ccccc1C	Test	3.75
679	95-63-6	c1cc(c(cc1C)C)C	Test	4.19
680	96-09-3	O1CC1c2ccccc2	Test	3.99
681	96-18-4	C(C(CCl)Cl)Cl	Test	3.41
682	96-80-0	OCCN(C(C)C)C(C)C	Test	2.86
683	99-65-0	O=[N+]([O-])c1cccc(c1)[N+](=O)[O-]	Test	4.12
684	100-41-4	c1ccc(cc1)CC	Test	3.95
685	100-44-7	c1ccc(cc1)CCl	Test	4.4
686	100-47-0	N#Cc1ccccc1	Test	2.99
687	100-51-6	OCc1ccccc1	Test	2.37
688	100-79-8	OCC1OC(OC1)(C)C	Test	0.9
689	102-08-9	c1ccc(cc1)NC(Nc2ccccc2)=S	Test	4.08
690	104-40-5	Oc1ccc(cc1)CCCCCCCCC	Test	5.91
691	106-47-8	Nc1ccc(cc1)Cl	Test	3.62
692	106-48-9	Oc1ccc(cc1)Cl	Test	4.46
693	106-89-8	O1CC1CCl	Test	3.86
694	107-12-0	N#CCC	Test	1.56
695	107-14-2	N#CCCl	Test	4.75
696	107-19-7	C#CCO	Test	4.56
697	107-41-5	OC(C)CC(O)(C)C	Test	1.04
698	108-39-4	Oc1cccc(c1)C	Test	3.29
699	108-88-3	c1ccc(cc1)C	Test	3.43
700	108-99-6	n1cccc(c1)C	Test	2.81
701	109-52-4	O=C(O)CCCC	Test	3.12
702	109-87-5	O(C)COC	Test	1.04
703	110-12-3	O=C(C)CCC(C)C	Test	2.86
704	110-16-7	O=C(O)C=CC(=O)O	Test	4.37
705	110-40-7	O=C(OCC)CCCCCCCCC(=O)OCC	Test	4.98
706	111-25-1	CCCCCCBr	Test	4.68
707	111-27-3	OCCCCCC	Test	2.94
708	111-91-1	O(COCCCl)CCCl	Test	2.97
709	112-05-0	O=C(O)CCCCCCCC	Test	3.18
710	112-30-1	OCCCCCCCCCC	Test	4.82
711	115-20-8	OCC(Cl)(Cl)Cl	Test	2.8
712	115-29-7	O=S1OCC2C(CO1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Test	8.48
713	116-06-3	O=C(ON=CC(C)(C)SC)NC	Test	5.17
714	117-80-6	O=C1c2ccccc2(C(=O)C(=C1Cl)Cl)	Test	6.18
715	118-79-6	Oc1c(cc(cc1Br)Br)Br	Test	4.71
716	118-96-7	O=[N+]([O-])c1cc(c(c(c1)[N+](=O)[O-])C)[N+](=O)[O-]	Test	4.98
717	120-80-9	Oc1ccccc1(O)	Test	4.24
718	121-14-2	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])C	Test	3.77
719	121-33-5	O=Cc1ccc(O)c(OC)c1	Test	3.12
720	121-69-7	c1ccc(cc1)N(C)C	Test	3.27
721	121-73-3	O=[N+]([O-])c1cccc(c1)Cl	Test	3.93
722	122-14-5	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1C	Test	4.81
723	123-91-1	O1CCOCC1	Test	0.93
724	126-73-8	O=P(OCCCC)(OCCCC)OCCCC	Test	4.51
725	127-18-4	C(=C(Cl)Cl)(Cl)Cl	Test	3.96
726	132-64-9	o2c1ccccc1c3ccccc23	Test	4.97
727	135-19-3	Oc1ccc2ccccc2(c1)	Test	4.62
728	137-26-8	C(N(C)C)(=S)SSC(N(C)C)=S	Test	6.99
729	141-05-9	O=C(OCC)C=CC(=O)OCC	Test	3.98
730	141-78-6	O=C(OCC)C	Test	2.58
731	141-93-5	c1cc(cc(c1)CC)CC	Test	4.51
732	142-96-1	O(CCCC)CCCC	Test	3.61
733	143-08-8	OCCCCCCCCC	Test	4.41
734	150-76-5	Oc1ccc(OC)cc1	Test	3.11
735	281-23-2	C1C2CC3CC1CC(C2)C3	Test	5.68
736	311-45-5	O=[N+]([O-])c1ccc(OP(=O)(OCC)OCC)cc1	Test	5.98
737	330-54-1	O=C(Nc1ccc(c(c1)Cl)Cl)N(C)C	Test	4.22
738	333-41-5	n1c(OP(OCC)(OCC)=S)cc(nc1C(C)C)C	Test	4.81
739	385-00-2	O=C(O)c1c(F)cccc1(F)	Test	3.36
740	500-22-1	O=Cc1cnccc1	Test	3.82
741	528-29-0	O=[N+]([O-])c1ccccc1[N+](=O)[O-]	Test	5.45
742	540-88-5	O=C(OC(C)(C)C)C	Test	2.55
743	552-41-0	O=C(c1ccc(OC)cc1(O))C	Test	3.37
744	552-89-6	O=Cc1ccccc1[N+](=O)[O-]	Test	4.02
745	563-12-2	O(CC)P(OCC)(=S)SCSP(OCC)(OCC)=S	Test	5.73
746	584-79-2	O=C(OC1C(=C(C(=O)C1)CC=C)C)C2C(C=C(C)C)C2(C)(C)	Test	6.7
747	589-09-3	C=CCNc1ccccc1	Test	3.57
748	593-08-8	O=C(C)CCCCCCCCCCC	Test	5.74
749	596-85-0	OC(C=C)(C)CCC1C(=C)CCC2C(C)(C)CCCC12(C)	Test	6.38
750	603-83-8	O=[N+]([O-])c1cccc(N)c1C	Test	3.48
751	606-20-2	O=[N+]([O-])c1cccc(c1C)[N+](=O)[O-]	Test	3.98
752	607-00-1	O=CN(c1ccccc1)c2ccccc2	Test	3.81
753	608-71-9	Oc1c(c(c(c(c1Br)Br)Br)Br)Br	Test	6.72
754	623-91-6	O=C(OCC)C=CC(=O)OCC	Test	4.58
755	629-40-3	N#CCCCCCCC#N	Test	2.41
756	683-72-7	O=C(N)C(Cl)Cl	Test	2.73
757	693-16-3	NC(C)CCCCCC	Test	4.4
758	693-93-6	n1cocc1C	Test	1.78
759	756-80-9	O(C)P(OC)(=S)S	Test	3.83
760	760-23-6	C=CC(CCl)Cl	Test	4.18
